video_name,Source collection,caption
254830.mp4,Rachel_2012-02-14_sc66,Now parents often would start considering discussing with the hospital for the early intervention. But the word makes it seems like they are intervening.
254931.mp4,Rachel_2012-02-14_sc66,"""Intervention"" implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well."
255032.mp4,Rachel_2012-02-14_sc66,It seems like the hospital needed to intervene because the parents were doing lousy job with their child.
255033.mp4,Rachel_2012-02-14_sc66,"The baby is just deaf. It's not their fault, they're doing perfectly fine."
255134.mp4,Rachel_2012-02-14_sc66,"Why don't we use ""early involvement"", which means involving the parents by sharing the resources and working together; and not intervening them."
255235.mp4,Rachel_2012-02-14_sc66,"Thirdly, the hospital often will discuss about the communication options."
255236.mp4,Rachel_2012-02-14_sc66,"It seems that parents must choose one between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options."
255337.mp4,Rachel_2012-02-14_sc66,"They really can do all of the options. One family can choose to use sign language, and if another family wants to use speech, that's fine."
255743.mp4,Rachel_2012-02-14_sc66,It's important that the child signs. Hospitals don't use 'communication opportunities' as their word choices.
255844.mp4,Rachel_2012-02-14_sc66,That makes it to seem like an opportunity to do more than one.
255945.mp4,Rachel_2012-02-14_sc66,"The doctors often would say ""We should discuss the grief progress. Here's the social worker and counselor, they will help you to nagivate the grief progress."""
255946.mp4,Rachel_2012-02-14_sc66,The parents might will perceive this as something they should to be upset about.
256047.mp4,Rachel_2012-02-14_sc66,Why don't we discuss it as the journey through experience?
256148.mp4,Rachel_2012-02-14_sc66,It would turn into a positive thing.
256149.mp4,Rachel_2012-02-14_sc66,Often in the meeting; all people in the room are hearing except for the baby.
256250.mp4,Rachel_2012-02-14_sc66,We should bring in the Deaf mentor to meet the parents.
256351.mp4,Rachel_2012-02-14_sc66,A Deaf role model who has been trained can show the parents that he/she is perfectly fine.
256352.mp4,Rachel_2012-02-14_sc66,He/she can read and write. He/she can communicate. He/she can work. He/she has an education. There's a long list of that and he/she is perfectly fine.
256453.mp4,Rachel_2012-02-14_sc66,"The parents will realize and embraces the situation more calmly. Without a Deaf role model, we are missing the link of connection between the parents and the Deaf person."
256554.mp4,Rachel_2012-02-14_sc66,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies two groups from Utah and Tennessee.
256555.mp4,Rachel_2012-02-14_sc66,The early intervention services for both groups had the same checklist.
256656.mp4,Rachel_2012-02-14_sc66,Both locations had the same number of meetings; same occurences of home visits; same kind of school; and the same resources.
256657.mp4,Rachel_2012-02-14_sc66,"Except for Utah group, the child had a Deaf mentor, while the group from Tennessee did not."
256758.mp4,Rachel_2012-02-14_sc66,"The study noticed that the Deaf child from Utah resulted in better social, emotion and cognitive developments."
256859.mp4,Rachel_2012-02-14_sc66,It makes sense because the parents will learn from the Deaf mentor after including him/her in the family. The parents will start to realize how important it is to involve in the Deaf community.
256860.mp4,Rachel_2012-02-14_sc66,Parents cannot simply rely on a Deaf mentor. They must do more such as being involved in the Deaf community.
256961.mp4,Rachel_2012-02-14_sc66,Be friends with their child's friend's parents. It's important to be connected and they must collaborate with others.
257062.mp4,Rachel_2012-02-14_sc66,There is another research in Australia with the similar idea.
257063.mp4,Rachel_2012-02-14_sc66,"There are two groups with same guidelines. One group has Deaf professionals being involved, while another group did not."
257164.mp4,Rachel_2012-02-14_sc66,The parents of the group with Deaf professionals would get through the grief progress quicker and usually be able to move on quickly.
257265.mp4,Rachel_2012-02-14_sc66,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer."
257266.mp4,Rachel_2012-02-14_sc66,"So, the family must have a Deaf role model supporting them."
257367.mp4,Rachel_2012-02-14_sc66,"Therefore, overall, there's a missing link. If we change that, it will influence the deaf children to develop better."
745937.mp4,Rachel_2012-02-14_sc65,Last week John arrived late.
745928.mp4,Rachel_2012-02-14_sc65,I just arrived now.
745929.mp4,Rachel_2012-02-14_sc65,I hope John arrives on time next week.
7459110.mp4,Rachel_2012-02-14_sc65,I got a B on last week's test.
7459011.mp4,Rachel_2012-02-14_sc65,I'm studying this week for the test.
7458912.mp4,Rachel_2012-02-14_sc65,I hope I pass the test next week.
7458813.mp4,Rachel_2012-02-14_sc65,I went shopping and spent two hundred dollars.
7458714.mp4,Rachel_2012-02-14_sc65,This week I didn't save money.
7458615.mp4,Rachel_2012-02-14_sc65,I'm going out again next week to spend all my money.
7458616.mp4,Rachel_2012-02-14_sc65,I already went out and saw the movie.
7458517.mp4,Rachel_2012-02-14_sc65,"Tonight, I'm going to a movie."
7458418.mp4,Rachel_2012-02-14_sc65,I'm going to the movies again next week.
756517.mp4,Rachel_2012-02-14_sc63,Mary had a baby girl.
756528.mp4,Rachel_2012-02-14_sc63,Mary and John will leave tomorrow.
756529.mp4,Rachel_2012-02-14_sc63,I told him/her tomorrow it would rain.
7565310.mp4,Rachel_2012-02-14_sc63,"Last year, we read a lot of books."
7565411.mp4,Rachel_2012-02-14_sc63,I've been here all day; I want to leave.
7565512.mp4,Rachel_2012-02-14_sc63,"Wow, his/her friend is a tall man."
7565513.mp4,Rachel_2012-02-14_sc63,I know he/she reads a lot of books.
7565614.mp4,Rachel_2012-02-14_sc63,Maybe Mary will give birth to a big baby.
7565915.mp4,Rachel_2012-02-14_sc63,Maybe tomorrow it will stop raining.
7566016.mp4,Rachel_2012-02-14_sc63,"If it stops raining tomorrow, I will leave."
7566017.mp4,Rachel_2012-02-14_sc63,I know that he/she finished reading the book.
7566118.mp4,Rachel_2012-02-14_sc63,I don't want to read; I want to leave.
7566219.mp4,Rachel_2012-02-14_sc63,I already announced that it will rain tomorrow.
7566320.mp4,Rachel_2012-02-14_sc63,"Wow, he/she left fast."
7566321.mp4,Rachel_2012-02-14_sc63,Mary has many different friends.
7566422.mp4,Rachel_2012-02-14_sc63,He/She knows many different men.
7566523.mp4,Rachel_2012-02-14_sc63,All the men left together.
7566624.mp4,Rachel_2012-02-14_sc63,I know he/she leaves tomorrow.
7566625.mp4,Rachel_2012-02-14_sc63,What did he/she decide?
7566726.mp4,Rachel_2012-02-14_sc63,Maybe his/her car is here.
7566827.mp4,Rachel_2012-02-14_sc63,He/She used to own a big boat.
7566928.mp4,Rachel_2012-02-14_sc63,What did Mary's name used to be?
7567029.mp4,Rachel_2012-02-14_sc63,What did the man tell him/her?
7567030.mp4,Rachel_2012-02-14_sc63,Mary knows many different languages.
7567131.mp4,Rachel_2012-02-14_sc63,We should leave together.
7567232.mp4,Rachel_2012-02-14_sc63,Maybe the two of us can leave tomorrow.
7567233.mp4,Rachel_2012-02-14_sc63,What did he/she decide to tell John?
7567334.mp4,Rachel_2012-02-14_sc63,Mary used to live in Boston.
7567435.mp4,Rachel_2012-02-14_sc63,Where was the man born? He was born in Chicago.
7567436.mp4,Rachel_2012-02-14_sc63,Mary and that man leave tomorrow.
7567537.mp4,Rachel_2012-02-14_sc63,My car is fancy and blue.
7567638.mp4,Rachel_2012-02-14_sc63,His/Her father left.
7567639.mp4,Rachel_2012-02-14_sc63,I already told them that I'm going out tomorrow.
7567740.mp4,Rachel_2012-02-14_sc63,My father used to be tall but now he's short.
7567841.mp4,Rachel_2012-02-14_sc63,My car is different now. It's small not big.
7567842.mp4,Rachel_2012-02-14_sc63,The man decided he didn't want a big car; he prefers a small car.
7567943.mp4,Rachel_2012-02-14_sc63,"I wasn't born here, I was born in a different country."
7568044.mp4,Rachel_2012-02-14_sc63,The man decided to read a book tomorrow.
7568045.mp4,Rachel_2012-02-14_sc63,Maybe John and Mary will decide to work together now.
7568146.mp4,Rachel_2012-02-14_sc63,"Yesterday, it rained all day."
7568247.mp4,Rachel_2012-02-14_sc63,It's raining. Would you prefer driving?
7568248.mp4,Rachel_2012-02-14_sc63,Many children are born everyday.
7568349.mp4,Rachel_2012-02-14_sc63,"I know, he/she already told me."
7568450.mp4,Rachel_2012-02-14_sc63,What did John buy today? He bought a big poster.
7568451.mp4,Rachel_2012-02-14_sc63,Did you know? the president arrived yesterday
7568552.mp4,Rachel_2012-02-14_sc63,The president and his wife arrived together.
7568653.mp4,Rachel_2012-02-14_sc63,"I used to see the president on TV, but in person, he looks different."
7568754.mp4,Rachel_2012-02-14_sc63,"After the president leaves, I will talk with the reporters."
7568755.mp4,Rachel_2012-02-14_sc63,"When the president leaves, I will talk with the reporter."
7568856.mp4,Rachel_2012-02-14_sc63,"Wow, someone told me that the president might get fired."
7568957.mp4,Rachel_2012-02-14_sc63,I want to go out now.
7568958.mp4,Rachel_2012-02-14_sc63,I used to lie but now I tell the truth.
7569059.mp4,Rachel_2012-02-14_sc63,"Wow, it's raining now, whatever, I'm going out still."
7569160.mp4,Rachel_2012-02-14_sc63,Wow. There are so many big cakes of different kinds; do I have to pick one?
7569161.mp4,Rachel_2012-02-14_sc63,"I know I'm late, but I will be finished soon."
7569262.mp4,Rachel_2012-02-14_sc63,Everyone knows that John left to drive to Maine.
7569363.mp4,Rachel_2012-02-14_sc63,"Wow, that man knows George Clooney."
7569364.mp4,Rachel_2012-02-14_sc63,Now there is a big expensive house. It's really beautiful.
7569465.mp4,Rachel_2012-02-14_sc63,"Wow, that man recently bought something big, but I can't tell you what it is."
7569466.mp4,Rachel_2012-02-14_sc63,Pete loves driving; he has many different cars.
7569567.mp4,Rachel_2012-02-14_sc63,"I used to read the New York Times, but now I read the Boston Globe and wow it's different."
7569668.mp4,Rachel_2012-02-14_sc63,"I was born and raised in Boston. Now, I have lived here for many years."
7569669.mp4,Rachel_2012-02-14_sc63,My friend told me she/he was born in Chicago.
7569770.mp4,Rachel_2012-02-14_sc63,Sue and Ben decided to move here to Boston. They arrived last year.
7569871.mp4,Rachel_2012-02-14_sc63,I don't want to go out; it's raining now.
7569872.mp4,Rachel_2012-02-14_sc63,Who was born in September? My brother and my father.
5080307.mp4,Rachel_2012-02-14_sc62,John arrived yesterday.
5080298.mp4,Rachel_2012-02-14_sc62,Mary owns many different cars.
5080289.mp4,Rachel_2012-02-14_sc62,Mary knows it rained here yesterday.
50802710.mp4,Rachel_2012-02-14_sc62,Mary bought a car yesterday.
50802711.mp4,Rachel_2012-02-14_sc62,"Wow, Mary gave birth to a big baby."
50802612.mp4,Rachel_2012-02-14_sc62,Her car is here.
50802513.mp4,Rachel_2012-02-14_sc62,My car is here.
50802414.mp4,Rachel_2012-02-14_sc62,The man and the woman arrived here together.
50802415.mp4,Rachel_2012-02-14_sc62,John tells Mary many lies.
50802316.mp4,Rachel_2012-02-14_sc62,What does Mary own a lot of?
50802217.mp4,Rachel_2012-02-14_sc62,John reads many books.
50802118.mp4,Rachel_2012-02-14_sc62,John has a different car.
50802119.mp4,Rachel_2012-02-14_sc62,Mary has a different bike.
50802020.mp4,Rachel_2012-02-14_sc62,John decided he would buy the car.
50801921.mp4,Rachel_2012-02-14_sc62,Now Mary knows John.
50801922.mp4,Rachel_2012-02-14_sc62,Maybe Mary will buy a car.
50801823.mp4,Rachel_2012-02-14_sc62,What did John decide yesterday?
50801724.mp4,Rachel_2012-02-14_sc62,What did John decide yesterday?
50801625.mp4,Rachel_2012-02-14_sc62,"Yesterday, it rained four times."
50801526.mp4,Rachel_2012-02-14_sc62,Mary decided to buy a new car.
50801527.mp4,Rachel_2012-02-14_sc62,Now the two of us know who arrived yesterday.
50801428.mp4,Rachel_2012-02-14_sc62,John came yesterday and left.
50801329.mp4,Rachel_2012-02-14_sc62,Mary decided to tell John.
50801330.mp4,Rachel_2012-02-14_sc62,Maybe John will move here.
50801231.mp4,Rachel_2012-02-14_sc62,Maybe John will live here.
50801132.mp4,Rachel_2012-02-14_sc62,"Mary's not here, she just left."
50801133.mp4,Rachel_2012-02-14_sc62,Mary loves many men.
50801034.mp4,Rachel_2012-02-14_sc62,What did Mary find yesterday? She found a mouse.
50800935.mp4,Rachel_2012-02-14_sc62,Mary has a good car now.
50800936.mp4,Rachel_2012-02-14_sc62,Mary used to teach but now she works online.
50800837.mp4,Rachel_2012-02-14_sc62,"Mary enjoys acting, not reading."
50800738.mp4,Rachel_2012-02-14_sc62,Mary arrived late.
50800639.mp4,Rachel_2012-02-14_sc62,John and Mary arrived together.
50800640.mp4,Rachel_2012-02-14_sc62,Mary arrived in Chicago last week.
3373547.mp4,Rachel_2012-02-09_sc61,"You are wrong. No, I prefer lox, I don`t like pineapple cream cheese."
33733337.mp4,Rachel_2012-02-09_sc61,"You're wrong, that is not pineapple cream cheese. I prefer lox."
33733238.mp4,Rachel_2012-02-09_sc61,"No, I don't like pineapple cream cheese. I prefer lox."
3373548.mp4,Rachel_2012-02-09_sc61,"No, I would not stop vomitting if I ate pineapple cream cheese. I prefer lox."
3373539.mp4,Rachel_2012-02-09_sc61,"No, I wouldn't stop vomiting if I had pineapple cream cheese. Lox only is fine with me."
33735210.mp4,Rachel_2012-02-09_sc61,"No, not pineapple cream cheese. Lox is better for me, that's it."
33732942.mp4,Rachel_2012-02-09_sc61,I already know that there's pineapple cream cheese.
33733139.mp4,Rachel_2012-02-09_sc61,I hope there's pineapple cream cheese.
33735111.mp4,Rachel_2012-02-09_sc61,I wish there was pineapple cream cheese.
33735112.mp4,Rachel_2012-02-09_sc61,I really do have pineapple cream cheese.
33735013.mp4,Rachel_2012-02-09_sc61,I won't be thrilled if there's pineapple cream cheese.
33734914.mp4,Rachel_2012-02-09_sc61,"If all the students arrive on time, there won't be a test."
33734815.mp4,Rachel_2012-02-09_sc61,"If you're arriving late, it's fine. I just have to call the restauarnt and postpone the reservation."
33734816.mp4,Rachel_2012-02-09_sc61,"If all the students pass the test, then there will be no school tomorrow."
33734717.mp4,Rachel_2012-02-09_sc61,"If my mom says I can go to the concert, I'll be thrilled."
33734618.mp4,Rachel_2012-02-09_sc61,I'm excited for when my friend and I go to the concert.
33734519.mp4,Rachel_2012-02-09_sc61,I will be thrilled if I see my friend tomorrow.
33734520.mp4,Rachel_2012-02-09_sc61,"I'm letting you know that the car is broken down, I used the the right key."
33734421.mp4,Rachel_2012-02-09_sc61,"No, I did use the right key. The car is broken."
33733140.mp4,Rachel_2012-02-09_sc61,"I'm serious, the car is broken. I tried the key but it isn't working."
33734322.mp4,Rachel_2012-02-09_sc61,"No, I don't have a car."
33734323.mp4,Rachel_2012-02-09_sc61,I don't have a car at all.
33734224.mp4,Rachel_2012-02-09_sc61,"No, I don't have a car."
33734125.mp4,Rachel_2012-02-09_sc61,"Nope, I don't have a car."
33734026.mp4,Rachel_2012-02-09_sc61,"If it's snowing out, then school is cancelled."
33733927.mp4,Rachel_2012-02-09_sc61,"If it's snowing outside a lot, will school be cancelled?"
33733928.mp4,Rachel_2012-02-09_sc61,When it snows out a lot school closes right?
33733829.mp4,Rachel_2012-02-09_sc61,"If there's no snow outside, normally school will be open."
33733730.mp4,Rachel_2012-02-09_sc61,If there's no snow outside then normally school isn't cancelled.
33733731.mp4,Rachel_2012-02-09_sc61,If it stops snowing outside then school will reopen tomorrow.
33733632.mp4,Rachel_2012-02-09_sc61,"If it snows tomorrow, then it's a guarantee that school will be closed."
33733533.mp4,Rachel_2012-02-09_sc61,Who went out when it was raining?
33733534.mp4,Rachel_2012-02-09_sc61,The teacher made the reading required for John so he had to read the book.
33733435.mp4,Rachel_2012-02-09_sc61,The teacher didn't make the reading required. It's uncertain whether or not John will read the book now.
33733336.mp4,Rachel_2012-02-09_sc61,The teacher didn't make the reading required so John didn't read.
33733041.mp4,Rachel_2012-02-09_sc61,"If the teacher requires John to do it,  John will read the book."
2388447.mp4,Rachel_2012-02-09_sc60,John broke the window?
2388438.mp4,Rachel_2012-02-09_sc60,"Did John break the window?  no, he broke the door."
2388429.mp4,Rachel_2012-02-09_sc60,"John didn't break the window, he cracked it."
23884210.mp4,Rachel_2012-02-09_sc60,John didn't break the window Sally did.
23884111.mp4,Rachel_2012-02-09_sc60,"No, Mary didn't stop rowing."
23884012.mp4,Rachel_2012-02-09_sc60,"No, Mary didn't quit rowing."
23883913.mp4,Rachel_2012-02-09_sc60,Mary never started rowing.
23880659.mp4,Rachel_2012-02-09_sc60,France's king is bald.
23883914.mp4,Rachel_2012-02-09_sc60,"France`s king is bald. No, that's not true."
23883815.mp4,Rachel_2012-02-09_sc60,France has a king now?
23883716.mp4,Rachel_2012-02-09_sc60,Is France's current king bald? No...
23880660.mp4,Rachel_2012-02-09_sc60,"Is the king of France bald? No, France doesn't have a king now."
23880561.mp4,Rachel_2012-02-09_sc60,Now France's king is bald.
23883617.mp4,Rachel_2012-02-09_sc60,"Yes, he/she talks a lot."
23883618.mp4,Rachel_2012-02-09_sc60,Obama is from Philadelphia.
23883519.mp4,Rachel_2012-02-09_sc60,"Obama isn't from Philadelphia, he's from Chicago."
23883420.mp4,Rachel_2012-02-09_sc60,"No, he's not from Philadelphia."
23883421.mp4,Rachel_2012-02-09_sc60,Bob doesn't know president Silber because he isn't the president anymore.
23883322.mp4,Rachel_2012-02-09_sc60,You're going to the mall today? Can I join? My car has a flat.
23883223.mp4,Rachel_2012-02-09_sc60,"Does your car have a flat? No, it doesn't."
23883124.mp4,Rachel_2012-02-09_sc60,"No, it didn't rain."
23883025.mp4,Rachel_2012-02-09_sc60,"No, he/she did not come home."
23882926.mp4,Rachel_2012-02-09_sc60,"In the event of no snow, my trip has to be cancelled."
23882927.mp4,Rachel_2012-02-09_sc60,"When there is no snow, my (starts signing ""trip"") ski trip will be cancelled."
23882828.mp4,Rachel_2012-02-09_sc60,"When there's no snow, my ski trip is cancelled."
23882729.mp4,Rachel_2012-02-09_sc60,"If there is no snow, my trip is cancelled."
23882730.mp4,Rachel_2012-02-09_sc60,If there is no snow I will cancel my ski trip.
23882631.mp4,Rachel_2012-02-09_sc60,"When it snows, school is cancelled."
23882532.mp4,Rachel_2012-02-09_sc60,"When it snows, school is cancelled."
23882533.mp4,Rachel_2012-02-09_sc60,"In event of snow, school is cancelled."
23882434.mp4,Rachel_2012-02-09_sc60,"If it snows, school is cancelled."
23882335.mp4,Rachel_2012-02-09_sc60,"If it snows, school is cancelled."
23882236.mp4,Rachel_2012-02-09_sc60,"If it snows, school is cancelled."
23882237.mp4,Rachel_2012-02-09_sc60,"When it snows, school isn't cancelled."
23882138.mp4,Rachel_2012-02-09_sc60,"When it snows, school is not cancelled."
23882039.mp4,Rachel_2012-02-09_sc60,"If it snows, school won't be cancelled."
23882040.mp4,Rachel_2012-02-09_sc60,"In the event of snow, school is not cancelled."
23881941.mp4,Rachel_2012-02-09_sc60,"If it snows, school still won't be cancelled."
23881842.mp4,Rachel_2012-02-09_sc60,"If it snows, school is not cancelled."
23881843.mp4,Rachel_2012-02-09_sc60,School will continue if it snows. It won't be cancelled.
23881744.mp4,Rachel_2012-02-09_sc60,"No, when it does not snow, school will still be in session."
23881645.mp4,Rachel_2012-02-09_sc60,"In the event of no snow, there is still school."
23881646.mp4,Rachel_2012-02-09_sc60,"If there is no snow, school will continue."
23881547.mp4,Rachel_2012-02-09_sc60,"If there is no snow, then school will continue."
23881448.mp4,Rachel_2012-02-09_sc60,I stay home when it rains.
23881349.mp4,Rachel_2012-02-09_sc60,I stay home when it rains.
23881350.mp4,Rachel_2012-02-09_sc60,"When it happens to rain, I stay home."
23881251.mp4,Rachel_2012-02-09_sc60,"If it's raining, I""m staying home."
23881152.mp4,Rachel_2012-02-09_sc60,"If it's raining, I stay home."
23881053.mp4,Rachel_2012-02-09_sc60,"If it's raining, I stay home."
23881054.mp4,Rachel_2012-02-09_sc60,"When it's raining, I go out, I don't stay home."
23880955.mp4,Rachel_2012-02-09_sc60,"When it rains, I'm not staying home, I'm going out."
23880857.mp4,Rachel_2012-02-09_sc60,"When it rains, I still go out."
23880758.mp4,Rachel_2012-02-09_sc60,If it's raining I'm still going outside.
23880856.mp4,Rachel_2012-02-09_sc60,"If it's raining, I'm not going out."
7028847.mp4,Rachel_2012-02-09_sc59,"Two plus one equals six. No, two plus one equals three."
7028838.mp4,Rachel_2012-02-09_sc59,"Your family, specifically your parents, are important."
7028829.mp4,Rachel_2012-02-09_sc59,"Just so you know, your fingerspelling is lousy."
70288210.mp4,Rachel_2012-02-09_sc59,What's the name of the city where BU is? Oh it's Boston?
70288111.mp4,Rachel_2012-02-09_sc59,"What's the name of the city where BU is? Bustun? No, it's Boston."
70288012.mp4,Rachel_2012-02-09_sc59,"No, I told her that it was fine."
70287913.mp4,Rachel_2012-02-09_sc59,You said you wanted to punish him/her so go ahead don't dismiss it.
70287814.mp4,Rachel_2012-02-09_sc59,It's illegal to not have a tax.
70287815.mp4,Rachel_2012-02-09_sc59,You are breaking the rules if there is no tax.
70287716.mp4,Rachel_2012-02-09_sc59,I am warm too.
70287617.mp4,Rachel_2012-02-09_sc59,I'm tired.
70287518.mp4,Rachel_2012-02-09_sc59,I'm happy.
70287419.mp4,Rachel_2012-02-09_sc59,You don't want anything?
70287420.mp4,Rachel_2012-02-09_sc59,You don't want anything?
70287321.mp4,Rachel_2012-02-09_sc59,You don't want anything.
70287222.mp4,Rachel_2012-02-09_sc59,Do you want anything?
70287223.mp4,Rachel_2012-02-09_sc59,"I'll follow whatever, I don't care."
70287124.mp4,Rachel_2012-02-09_sc59,"I'll read anything, I don't care."
