Utterance video filename,translation,emotion
15717850.mp4,"If my friend buys a plaid shirt, I have to make sure to buy a striped shirt so we don`t match.",Positive
15717554.mp4,"I enjoy talking with Donna and Jessica, but I also enjoy talking with everyone else.",Positive
15717456.mp4,"If your friend passes out, I won`t take care of him.",Positive
15717357.mp4,"When I passed out last night, everyone cheered me on.",Positive
15717258.mp4,"If your friend crashes my party, I will kick him out.",Positive
15717259.mp4,"If my friend hosts a pizza party, I will bring a supreme sized pizza.",Positive
15716864.mp4,The teacher is sick of always cleaning the classroom.,Negative
15716865.mp4,"The teacher is sick of always cleaning the classroom, so today he didn`t.",Negative
28816.mp4,"To tell the truth, I love you because you make people laugh so hard!",Positive
29019.mp4,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.",Positive
29423.mp4,I always get sick in winter because I wear flip-flops.,Negative
29525.mp4,The kids hate their principal because he bawls them out if they have not done their homework.,Negative
29626.mp4,I missed my morning class because I didn`t wake up to my alarm.,Negative
30438.mp4,"""Is the movie good?"" ""No, it was wonderful.""",Positive
30539.mp4,"Is it raining outside? No, it is beautiful.",Positive
84088.mp4,My friend goes out to a party.,Positive
841111.mp4,My friend is currently planning a surprise event.,Positive
841314.mp4,My friend is playing video games.,Positive
841618.mp4,Is your friend`s party good?,Positive
841720.mp4,"Is it fun going fishing with your friends? (starts out signing ""fishing"" but repairs to ""friend"")",Positive
841821.mp4,Will Bob be surprised at his surprise party?,Positive
842226.mp4,Does your friend really love surfing the internet?,Positive
842327.mp4,Does your friend love surfing the Internet?,Positive
843239.mp4,What time is the surprise party?,Positive
843443.mp4,Why does your friend love travelling?,Positive
844052.mp4,"If my friend goes out to a party, I will join them for sure.",Positive
844153.mp4,"If my friend goes out to a party, my roommate and I will join.",Positive
844356.mp4,"If my friend goes out fishing, I have to monitor the weather to make sure it`s fine for fishing.",Positive
844457.mp4,"When my friend goes out fishing, the fish has to go in the bucket immediately so it will be fresh.",Positive
844458.mp4,"If Bob is surprised at his surprise party, it is commendable because it is difficult to surprise Bob.",Positive
844762.mp4,"If my friend goes travelling, I just have to join.",Positive
844864.mp4,"Once my friend starts playing video games, he is hooked to it all night until his eyes pop out.",Positive
845270.mp4,My friend is going out to a party.,Positive
845472.mp4,My friend loves to go fishing because he loves to eat fish.,Positive
845473.mp4,My friend is planning to surprise Bob because he's turning 21.,Positive
845675.mp4,"My friend loves travelling, especially in Asian countries because there`s more of a variety of things to do, compared to other countries.",Positive
845676.mp4,My friend plays video games all day because he does nothing else.,Positive
845878.mp4,My friend loves the Internet because there are many different websites.,Positive
557229.mp4,My friend went out to a party.,Positive
5572412.mp4,The park is crowded because the kids love playing there.,Positive
5572413.mp4,"I like the beach better than the lake because the beach has waves, while the lake has none.",Positive
5572615.mp4,Mother has to clean the kitchen soon because a group of friends are coming over for the weekend.,Positive
5572716.mp4,My friend loves to go outside because he loves camping.,Positive
5572717.mp4,My friend is an expert at making bonfires because he was a Boy Scout growing up.,Positive
7343510.mp4,"If my friends go out, I will join them.",Positive
7343915.mp4,My mother tends to be in a bad mood if Father arrives home late.,Negative
7345131.mp4,"If Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.",Positive
7700328.mp4,Friends went out camping; they enjoyed it.,Positive
619039.mp4,"If Bob gives his sweetheart a rose, she will be happy.",Positive
6189816.mp4,"When a bad storm comes to Boston, I have to stay home.",Negative
6189618.mp4,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.",Positive
6189520.mp4,"If the horse plays all day on the farm, it will fall asleep easily at night.",Positive
6189223.mp4,"When I introduce a new friend, I will test and make sure he remembers the names.",Positive
6189124.mp4,"If my friend boldly asks for directions, I am willing to drive.",Positive
6188928.mp4,"If friends play frisbee, I will  join them.",Positive
6188829.mp4,"I starting making an invitation list for my BBQ party, I will have to make sure it's right.",Positive
6188534.mp4,"If I enjoy talking with those two, it means that I should enjoy talking with all of BU.",Positive
6188336.mp4,"If your friend gets fucked up, I won't take care of him.",Negative
6188238.mp4,"If my friend crashes the party, I will kick him out.",Positive
6188139.mp4,"If friends host a pizza party, I will bring a pizza with lots of toppings.",Positive
6187844.mp4,"The teacher is sick of cleaning the classroom, so he didn't clean the room.",Negative
6187646.mp4,Father is lazy and refused to mow the lawn.,Negative
6187153.mp4,The horses hate the rain- they don't like running in the rain.,Negative
6186957.mp4,I hate asking for directions and then having to read lips and gestures to figure out the directions.,Negative
6186858.mp4,I hate commuting to work by bike.,Negative
6186859.mp4,I notice that babies hate fireworks. The fireworks scare the babies.,Negative
6186563.mp4,My sister hates water skiing because it's hard to balance.,Negative
6185381.mp4,How did Mother get sick?,Negative
6185282.mp4,Who is sick?,Negative
6185183.mp4,Who is sick?,Negative
6184987.mp4,When is bad weather coming to Boston?,Negative
61840101.mp4,Who loves watching fireworks?,Positive
61839102.mp4,Who loves watching fireworks?,Positive
61835108.mp4,Does the friend reallhy want to buy the plaid shirt?,Positive
61830117.mp4,When is the pizza party that friend is hosting?,Positive
7986817.mp4,Was the movie good? Yes it was wonderful.,Positive
7986818.mp4,"Is it raining outside? No, it's beautiful and warm outside.",Positive
7986324.mp4,Bob frequently gives his sweetheart roses.,Positive
7986027.mp4,Mom is sick.,Negative
7985731.mp4,Bad weather will come to Boston soon.,Negative
7984743.mp4,Friends play frisbee.,Positive
7984644.mp4,I invited my friends to a barbeque party.,Positive
7984250.mp4,I enjoyed talking with the two of them.,Positive
7983954.mp4,My friends crashed the party.,Positive
7983658.mp4,Did Bob give the rose to his sweetheart?,Positive
7983461.mp4,Is mom sick?,Negative
7983363.mp4,My aunt makes the best blueberry pie.,Positive
7983165.mp4,Is bad weather coming to Boston?,Negative
7982377.mp4,Is playing frisbee fun?,Positive
7981589.mp4,Did my friend go ahead with crashing the party?,Positive
7981490.mp4,Bob wrote and sent a love letter to his wife because their anniversary is coming up soon.,Positive
7981293.mp4,Bob loves reading books because he can visualize what happens in the stories.,Positive
7981194.mp4,The teacher must clean the classroom everyday so that when the students come to class it will be clean.,Positive
7980799.mp4,Bad weather is coming to Boston because the city is close to the ocean.,Negative
79807100.mp4,My family vacation every year is in Florida because everyone loves the sun.,Positive
79806101.mp4,Bob has a big dog because he loves to wrestle with it.,Positive
79797114.mp4,My friend wants to buy a plaid shrit because his friend invited him to a costume party.,Positive
79795118.mp4,I enjoyed chatting with those two because we talked about ASL.,Positive
79792122.mp4,My friend just crashed a party because he recently finished his last exam.,Positive
79791123.mp4,My friend went ahead and hosted a pizza dinner because he loves pizza.,Positive
58734811.mp4,"When I don't study, I am guaranteed to fail.",Negative
58734712.mp4,"If I don't study, I am guaranteed to fail.",Negative
58734613.mp4,"If I don't study, I am guaranteed to fail.",Negative
58734020.mp4,"If you spell even one word wrong, he will take away points for it!",Negative
58733328.mp4,"If you win the lottery, we are going to Jamaica.",Positive
17077.mp4,The weather is lousy today.,Negative
171010.mp4,Mom likes surprises.,Positive
171111.mp4,The weather is beautiful today.,Positive
171820.mp4,"My dad likes pineapple cream cheese, like me.",Positive
172022.mp4,I love lox cream cheese.,Positive
172529.mp4,"Dad likes chocolate cereal, like me.",Positive
173442.mp4,The car is really broken!,Negative
174761.mp4,"Wow, it's not raining at all.",Positive
840018.mp4,"No, it`s beautiful outside! The sun`s shining and it`s warm and beautiful!",Positive
8399614.mp4,I thought it was terribly boring.,Negative
8398627.mp4,"No, no one has found the umbrella, it's still missing.",Negative
8398331.mp4,"What? No, right now we're in an economic crisis.",Negative
8397936.mp4,Pete loves computers; he has three set up one next to the other at home!,Positive
8397739.mp4,"I like it, if it has butter, I'm fine with that.",Positive
8397050.mp4,Who fell in love with Bill?,Positive
8396064.mp4,Your mom will love the gift you just bought for her.,Positive
8395966.mp4,"The man who broke into a house in Newton is probably the same person who broke into a house in Brookline,",Negative
8395867.mp4,"Wow, that coat you just bought looks warm!",Positive
338228.mp4,If John stays home it probably means he's sick.,Negative
3381715.mp4,"If you want to know, if John wins he will get a teddy bear.",Positive
3380826.mp4,"If my sister neglects her homework, she won't succeed in school.",Negative
3380727.mp4,"If my sister neglects her homework, she won't succeed in school.",Negative
3380433.mp4,"If John eats spinach, he will get sick.",Negative
3380334.mp4,"If John eats spinach, he will get nauseous and sick.",Negative
3379643.mp4,"If you order pizza here, it will be delicious.",Positive
3379644.mp4,"If you order pizza here, I guarantee it will be delicious.",Positive
3379348.mp4,"If a man has a wife, it means he loves her.",Positive
3379349.mp4,"If a man has a wife, then he loves her.",Positive
3379250.mp4,"If Jack has a wife, then he loves her.",Positive
3379152.mp4,Each student that received an award is here watching.,Positive
3379053.mp4,"If the student wins an award, he will get a $100 gift card.",Positive
3378954.mp4,The student who won the award will get a $100 voucher.,Positive
3377871.mp4,"If he hadn't lost his ticket, then he could have gone to the play.",Positive
8841.mp4,That picture you gave me was beautiful.,Positive
6713.mp4,The candidate who wins the Republican primary will run against Obama in the next election.,Positive
6814.mp4,The sandwich I just ate was delicious!,Positive
6916.mp4,Whichever team that wins this game will move onto the next game.,Positive
7119.mp4,"If you like chocolate, you will love this cake.",Positive
7422.mp4,"If I forget to go to the store, my mother will be upset.",Negative
8436.mp4,"When he struggled a lot in school, he became depressed.",Negative
8638.mp4,"If I'm working and my computer crashes, I will panic.",Negative
9855.mp4,Who loves Mary?,Positive
9956.mp4,Which vegetable do the kids love?,Positive
1372.mp4,Boston is a great city.,Positive
1575.mp4,I love my new car.,Positive
2590.mp4,My friend is thrilled because he won the lottery.,Positive
3098.mp4,My best friend visited Boston yesterday.,Positive
32100.mp4,Wow! That watch costs three thousand dollars!,Positive
24363254.mp4,The growth of signing went in one direction; the growth of speaking went in another.,Positive
24480520.mp4,"Deaf people made progress with the growth of signing.  The progress could have been greater, but it wasn't permitted.",Positive
29238789.mp4,"They talk about the superiority of vision, and the ""tyranny of the hegemony of sound"".",Positive
10201202.mp4,"and noise range. There are more things on the list, but I am focusing here on those two, with respect to acceptable ranges.",Positive
10615937.mp4,"If there's no voice, that means there's no identity.",Negative
90355380.mp4,"If you want to tease hearing people, then you can peel the styrofoam cup; that's kind of a warning.",Negative
91005359.mp4,"On one occasion, friends misinterpreted the noises Dear people made.",Positive
91055614.mp4,Sometimes hearing people interpret noises made by Deaf people and think maybe they're angry.,Negative
91152074.mp4,"One friend asked: ""Why is your mom angry?"", ""My mom angry?"" asked the CODA child. who then looked over at...",Negative
36725012.mp4,"There are a lot of stories and testimonies related to warnings on how to control sounds, or warnings to inform people...",Negative
37381512.mp4,"It would be appreciated if they're told about the noises they make, for the future.",Positive
37411375.mp4,"But of course they need to be informed in a polite way, so they will accept it.",Positive
37956612.mp4,In Iowa -- Greatechwaech -- the group Deaf Iowans Against Abuse made an alphabetical list.,Negative
38425538.mp4,"Sometimes there may be a place where the noise level seems fine, but then when you move to a different area, people react to the same noises as if there is something wrong, the noises are too loud.",Negative
38448512.mp4,How do you know which noises are a problem?  That's part of the the struggles and learning experiences of being a Deaf person in the audiovocal world.,Negative
64263610.mp4,"For example, in some areas of the world, people have a strong tendency to talk fast.",Positive
64778101.mp4,"When on the phone the person may perceive who they're talking to as being tall, smart, good looking and nice. They agree to meet the person the next day near the train and hang up",Positive
65086412.mp4,John's voice was a good match to the character he played. His character in the movie was that of a swashbuckler.,Positive
65174582.mp4,"People who watch silent films can't hear it but can imagine a strong, heavy baritone voice from that swashbuckler character.",Positive
66919772.mp4,How do I trust them if I don't know who they are?,Positive
67058780.mp4,Wow there are a lot of different experiences.,Positive
10697298.mp4,"But there is a study on beautiful speech from the teacher, to understand how voice quality can motivate the students a bit.",Positive
10732581.mp4,There is way more research focused on speech disorders than on good quality speech.,Positive
21637055.mp4,"I had received my report card and in it, it read that I had great deaf speech.",Positive
21673616.mp4,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",Positive
23406823.mp4,"They say to me ""you have good speech skills"" and I am like: “ohh - me?  I have good speech?""  Up to now I have, for a long time, said ""THANK YOU"".",Positive
23422537.mp4,That`s wonderful.,Positive
24090346.mp4,"What they praise is connected to the voice; they say, ""you have a beautiful voice""…",Positive
24319030.mp4,"i see: They know I'm Deaf and they imagine that Deaf people cannot speak. But then they realize that I can speak, so they offer praise. That praise itself has an underlying meaning, though.",Positive
24512339.mp4,"If you look at a Deaf person, as for that person being capable of speech, if you don't know that person, you cannot really judge their identity.  So, anybody, who's good will be praised for their motor speech.",Positive
24918677.mp4,"She had to miss her school's scheduled SAT exam due to illness, so she had to take the SAT at a hearing high school nearby.",Negative
25206232.mp4,"She was shocked and struggled to understand but proceeded with the exam. After the exam, she went to the proctor and asked why.   The proctor said she was trying to cheat and to get answers from others.",Negative
50106572.mp4,as a cheating tactic. Oh no!,Negative
50743523.mp4,I was like whoa! I didn't know that I was making noises. It's interesting how voices made by Deaf people can give rise to misinterpretation.,Positive
60523983.mp4,"Except in some situations, like at the gym where there are people working out, and it's expected that when people are lifting heavy weights, for example, that grunts are reasonaly acceptable there.",Positive
64659589.mp4,"That kind of sound has a different meaning. What happens in situations with grants is that there can be many different cultural situations where there are uncontrollable voices, voice excess or grunts, and it's not acceptable. It really blocks your communication process.",Negative
53134152.mp4,Wow and it's trickiling down from the international pro level to the local level; there was a 9-year-old girl in Australia who was thrown out of her tennis club...,Positive
53525420.mp4,Wow now suppose the grunt itself is related to excess vocalization.,Positive
53613120.mp4,"Screaming for example is set up in culture based on a range of what's an acceptable scream. If you go beyond that range, basically, the scream becomes excessive.",Negative
53748459.mp4,He placed third in the election but was willing to give his speech that he prepared to win the Caucus. So as he was presenting his voice was building up and he started screaming.,Positive
53784331.mp4,The presenter's scream was a little bit over the normal range to the point where people were staring and shocked and wanted him to stop.,Negative
53819100.mp4,"Once the news got a hold of the scream speech, his career and the possiblility of him becoming president went downhill. It was over from that one scream situation.",Negative
53931043.mp4,There are many implications associated with deaf experiences and trying to make accommodations. Often people will hear a deaf person and criticize them and think there's something wrong until they find out the person is deaf and then the situation is excused. But there is still that initial rude stare because people aren't making that connection between what they hear and the deaf person.,Negative
54119951.mp4,"There's even a specific way to laugh. Laughter has a cultural range already set up and if the laugh goes beyond the acceptable range, people will cover their mouths to try to control or muffle the laugh.",Positive
54279358.mp4,"The point is that there is excessive voice and people often comment on how deaf people laugh. They's say ""you know deaf people laugh differently"" Well what does that mean? Laughing itself is natural. If there's a funny situation you laugh and enjoy laughing, ae you supposed to control it?",Positive
54316179.mp4,Other cultures have controlled laughing. They have their own acceptable range that you shouldn't go beyond. It's good to stay within the range.,Positive
54349951.mp4,"So that comment about how deaf people laugh, well laughing can be taught.",Positive
54486267.mp4,"A while back there was a teacher who had a class and taught students how to laugh.The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was conntected to vocal usage from speaking to laughter.",Positive
45403603.mp4,"When they go to places where noises are permitted, like football and basketball games—the sites where the fans would be yelling to cheer, Deaf people assume that they are free to make noises, so they join them by yelling and cheering.",Positive
45728511.mp4,There's a limited voice range. That's Dean's problem: he often goes over that range.,Negative
46883941.mp4,"When I grew up, I always have been informed that if I need to make natural body noise like a fart, burp, etc., the only place that I can do that is in the bathroom.",Positive
47133137.mp4,"When I enter there, I should be feeling free.",Positive
47609690.mp4,"There's a cultural range, you cannot go in the bathroom and emit waste loudly. People would be horrified. You have to emit the waste gently.",Negative
47877712.mp4,"When they enter the bathroom and are ready to eliminate waste, they will turn on running water or music to cover up and drown out the bathroom noises.",Negative
48119512.mp4,"Bill Ennis told a great story about ""bubbles"".",Positive
48853866.mp4,"He went out of the bathroom, and he saw his mother looked so horrified as she was on the phone. He asked her, ""What's wrong?"" She said, ""Oh, you made terrible noises.""  He was surprised about it.",Negative
49253789.mp4,"She said, ""You peed on the water, don't do that. You should pee on the bowl of the toilet and avoid water to make it less loud."" He learned from his mother that peeing on the water makes a terrible noise.",Negative
49985301.mp4,"There's a story about a Deaf man who grew up in a hearing family; and the family was not so great with sign language. Every time he went to the bathroom, his parents would react to the loud noise.",Negative
50685256.mp4,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy horse. So he was delighted by his parents' comment.,Positive
51835847.mp4,"He said, ""Oh really, what is it?"" She said, ""you urinated on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.",Negative
52287944.mp4,He was very embarrassed.  He realized that he wasn't clear on his parents' remarks when he was growing up. He gulped hard. He changed his habits to urinate on the side of the bowl.,Negative
52344305.mp4,He married that woman and lived happily ever after.,Positive
39918381.mp4,"If someone were to make a loud noise, they would be looked down upon as no good, having no class, and being impolite.",Negative
40214885.mp4,My hearing colleague here at Gallaudet University. He told me that he could identify which Deaf or hearing person in the public bathroom as they're in the stall based on how they emit the waste.,Negative
83939268.mp4,"If my friends leave together, I will join.",Positive
83938973.mp4,"When father arrives home late at night, mom is upset and angry.",Negative
83938283.mp4,"When my friend starts dying their hair, other friends will think it's cool and start joining.",Positive
83937588.mp4,"If a group of friends go camping together, I will join them.",Positive
83937194.mp4,The friend went out to a party.,Positive
83936997.mp4,The park tends to be crowded because kids like playing there.,Positive
839366101.mp4,My friend loves going out because he loves camping.,Positive
63588.mp4,My friends are going out to a party together.,Positive
635411.mp4,My friends are planning a surprise event.,Positive
635214.mp4,My friends are playing video games.,Positive
634818.mp4,Was my friends' party good?,Positive
634720.mp4,Was the fishing trip with friends fun?,Positive
634226.mp4,Do your friend love surfing the internet on their laptop?,Positive
633038.mp4,What time does the surprise party start?,Positive
632741.mp4,Why do you hate video games?,Negative
632051.mp4,"If my friends are going to the party, I will join.",Positive
632052.mp4,"When my friends are  leaving to go to the party, I will let my roommate know that I will be joining them.",Positive
631755.mp4,"If my friends are going fishing, I will check the weather report to make sure it's okay.",Positive
631756.mp4,My friend caught a fish. I hurried and got a bucket and filled it with water to put the fish in to save the fish for dinner.,Positive
631657.mp4,"If my friend succesfully surprises Bob, kudos to him because it`s nearly impossible to surprise Bob!",Positive
631558.mp4,"When Bob enters the surprise party, everyone will spray silly string at him.",Positive
631361.mp4,"If my friends are traveling, I have to join them.",Positive
631263.mp4,"If my friend starts to play video games, he will continue until his eyes fall out!",Positive
630869.mp4,My friends get together to go out because there is a party.,Positive
630771.mp4,My friend loves going fishing because he loves fresh fish for dinner.,Positive
630672.mp4,My friends got together and planned to surprise Bob for his 21st.,Positive
630574.mp4,My friend loves traveling all over. His favorite place is Asia because their food is delicious.,Positive
629096.mp4,"My friend, if he has nothing to do, he will play video games all day.",Positive
630475.mp4,My friend likes to VP rather than text because he likes to communicate in ASL.,Positive
630376.mp4,My friend likes to use the Internet because he uses Google Chrome and it is fast.,Positive
629786.mp4,I love you because you are so good at making people laugh.,Positive
629589.mp4,"Last night, I played basketball with friends. It was a close game and we barely beat them, 30-28.",Positive
629490.mp4,I love movies. My favorite is comedy or horror movies.,Positive
629391.mp4,My mother loves glasses because she looks cool in them.,Positive
629392.mp4,"During the winter, I tend to get sick a lot because I tend to wear flip flops.",Negative
629194.mp4,"Those kids hate the principal because if they don`t do homework, he will yell at them.",Negative
629195.mp4,"One time, I missed my morning class because I accidentally over slept.",Negative
31660216.mp4,Bad weather is coming to Boston now.,Negative
31659327.mp4,I love fireworks.,Positive
31659229.mp4,Friends are playing Frisbee.,Positive
31658637.mp4,I enjoyed talking to Donna and Jessica.,Positive
31658539.mp4,Your friend is passed out!,Positive
31658341.mp4,My friend crashed the party last night.,Positive
31657848.mp4,Is Mother sick?,Negative
31657650.mp4,"Your aunt makes the best blueberry pie, right?",Positive
31657453.mp4,Is there bad weather in Boston now?,Negative
31656665.mp4,Is Frisbee fun?,Positive
31656468.mp4,Striped shirts are cool because they look good on me.,Positive
31655777.mp4,Is it fine if my friend crashes the party?,Positive
31655778.mp4,Bob sent his wife a love letter because it is their wedding anniversary soon.,Positive
31655481.mp4,Bob loves reading books because he likes using his imagination.,Positive
31655087.mp4,Bad weather is in Boston because the ocean is near.,Negative
31655088.mp4,My family vacations every year in Florida because they love the sun.,Positive
31654989.mp4,Bob has a big dog because he loves wrestling with them.,Positive
18264166.mp4,"The car Jack bought yesterday, what kind was it?",Positive
40351306.mp4,Who loves Bill?,Positive
60768715.mp4,Who won the lottery?,Positive
36918922.mp4,I bought a gift for my mom. She will love it!,Positive
1470684.mp4,The cat the neighbors found is really hungry. Wow.,Positive
35420258.mp4,"A student went on a quiz TV show, but he didn`t win.",Positive
72003359.mp4,The people I met last night were really interesting!,Positive
79664536.mp4,Jim assaulted a man and now the man is threatening to sue Jim.,Negative
5989857.mp4,I read the article written for the Boston Globe. I think it was great!,Positive
18337728.mp4,"The previous issue in DESDJ volume one number one, focused on visual feeling specifically the tactile orientation.",Positive
19256053.mp4,"But, for the purpose of this, I would like to focus on two things.",Positive
