filename,video_id,original_caption,whisper_transcript,norm_ref,norm_hyp,WER,STATUS
36288803_positive_score2.wav,36288803,Dad is like me. He likes chocolate cereal.," Um, that is like me. He likes chocolate cereal.",dad is like me he likes chocolate cereal,um that is like me he likes chocolate cereal,0.25,DISCARD
31658341_negative_score-1.wav,31658341,My friend crashed the party last night., My friend crashed the party last night.,my friend crashed the party last night,my friend crashed the party last night,0.0,KEEP
254525_negative_score-1.wav,254525,"Of course the parents would be scared. ""I am sorry"" is never a good thing."," Of course, the parents will be scared. I am sorry, it's never a good thing.",of course the parents would be scared i am sorry is never a good thing,of course the parents will be scared i am sorry its never a good thing,0.1333,DISCARD
154108_negative_score-1.wav,154108,"""Today I went out and the weather was lousy."" ""No, it's beautiful and warm outside. It's perfect."""," Today, I went out and the weather was lousy. Now, it's beautiful and warm outside. It's perfect.",today i went out and the weather was lousy no its beautiful and warm outside its perfect,today i went out and the weather was lousy now its beautiful and warm outside its perfect,0.0588,KEEP
31655088_positive_score3.wav,31655088,My family vacations every year in Florida because they love the sun., And my family vacations every year in Florida because they love the sun.,my family vacations every year in florida because they love the sun,and my family vacations every year in florida because they love the sun,0.0833,KEEP
844458_negative_score-1.wav,844458,"If Bob is surprised at his surprise party, it is commendable because it is difficult to surprise Bob."," If Bobby surprised at his surprise party, it is commendable because it is difficult to surprise Bog.",if bob is surprised at his surprise party it is commendable because it is difficult to surprise bob,if bobby surprised at his surprise party it is commendable because it is difficult to surprise bog,0.1667,DISCARD
31655481_positive_score3.wav,31655481,Bob loves reading books because he likes using his imagination., Bob loves reading books because he likes using his imagination.,bob loves reading books because he likes using his imagination,bob loves reading books because he likes using his imagination,0.0,KEEP
253816_negative_score-1.wav,253816,Or ask the COLLIDED group about the car and if the glass was broken?, or ask the collider group about the car. And if the glass was broken.,or ask the collided group about the car and if the glass was broken,or ask the collider group about the car and if the glass was broken,0.0714,KEEP
5572716_positive_score2.wav,5572716,My friend loves to go outside because he loves camping., My friend loves to go outside because he loves camping.,my friend loves to go outside because he loves camping,my friend loves to go outside because he loves camping,0.0,KEEP
845574_negative_score-1.wav,845574,I arrived school late because I was in a bike accident., I arrived school late because I was in a bike accident.,i arrived school late because i was in a bike accident,i arrived school late because i was in a bike accident,0.0,KEEP
36291796_negative_score-2.wav,36291796,No! I don't like pineapple cream cheese.," No! Oh, I don't like pineapple cream cheese.",no i dont like pineapple cream cheese,no oh i dont like pineapple cream cheese,0.1429,DISCARD
5572717_positive_score3.wav,5572717,My friend is an expert at making bonfires because he was a Boy Scout growing up., My friend is an expert at making bonfires because he was a voice out growing up.,my friend is an expert at making bonfires because he was a boy scout growing up,my friend is an expert at making bonfires because he was a voice out growing up,0.125,DISCARD
172022_positive_score3.wav,172022,I love lox cream cheese.," And, you know, I love watch cream cheese. And...",i love lox cream cheese,and you know i love watch cream cheese and,1.0,DISCARD
7984743_positive_score1.wav,7984743,Friends play frisbee., Friends play for his B.,friends play frisbee,friends play for his b,1.0,DISCARD
3378363_negative_score-2.wav,3378363,"I would read this book, but it's boring."," I would read this book, but it's boring.",i would read this book but its boring,i would read this book but its boring,0.0,KEEP
173340_negative_score-2.wav,173340,"Our cousin, John, broke the truck."," Ah! Our cousin. John, broke the truck.",our cousin john broke the truck,ah our cousin john broke the truck,0.1667,DISCARD
3381715_positive_score3.wav,3381715,"If you want to know, if John wins he will get a teddy bear.", if you want to know if John wins he will get it anywhere if John wins he will get it anywhere,if you want to know if john wins he will get a teddy bear,if you want to know if john wins he will get it anywhere if john wins he will get it anywhere,0.7143,DISCARD
255033_positive_score2.wav,255033,"The baby is just deaf. It's not their fault, they're doing perfectly fine.", The baby is just deaf. It's not their fault. They're doing perfectly fine.,the baby is just deaf its not their fault theyre doing perfectly fine,the baby is just deaf its not their fault theyre doing perfectly fine,0.0,KEEP
1470684_negative_score-3.wav,1470684,The cat the neighbors found is really hungry. Wow.," The cat the neighbors found is really hungry. Oh, oh, oh. This is a maver.",the cat the neighbors found is really hungry wow,the cat the neighbors found is really hungry oh oh oh this is a maver,0.7778,DISCARD
31657453_negative_score-2.wav,31657453,Is there bad weather in Boston now?," is what is the meaning? The meaning matches the meaning for completely, completely what, whatsoever. Is there bad weather in Boston now?",is there bad weather in boston now,is what is the meaning the meaning matches the meaning for completely completely what whatsoever is there bad weather in boston now,2.1429,DISCARD
8395966_negative_score-2.wav,8395966,"The man who broke into a house in Newton is probably the same person who broke into a house in Brookline,", The man who broke into a house in Newton is probably the same person who broke into a house and broke line.,the man who broke into a house in newton is probably the same person who broke into a house in brookline,the man who broke into a house in newton is probably the same person who broke into a house and broke line,0.1429,DISCARD
254424_negative_score-2.wav,254424,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf""."," The first thing the doctor and gas nurse will say to the parents will be, I am sorry. It's an automatic negative. I am sorry that your child is deaf.",the first thing the doctor and nurse would say to the parents would be i am sorry its an automatic negative i am sorry that your child is deaf,the first thing the doctor and gas nurse will say to the parents will be i am sorry its an automatic negative i am sorry that your child is deaf,0.1034,DISCARD
3378954_positive_score2.wav,3378954,The student who won the award will get a $100 voucher., The student who won the award will get a $100 voucher.,the student who won the award will get a 100 voucher,the student who won the award will get a 100 voucher,0.0,KEEP
35420258_negative_score-1.wav,35420258,"A student went on a quiz TV show, but he didn`t win."," A student went on a quiz TV show, but he didn't win.",a student went on a quiz tv show but he didnt win,a student went on a quiz tv show but he didnt win,0.0,KEEP
8397936_negative_score-3.wav,8397936,Pete loves computers; he has three set up one next to the other at home!," will Pete loves computers. Ah, he has three set up. One, next to the other, at home.",pete loves computers he has three set up one next to the other at home,will pete loves computers ah he has three set up one next to the other at home,0.1333,DISCARD
841821_positive_score3.wav,841821,Will Bob be surprised at his surprise party?, Will Bob be surprised at his surprise party?,will bob be surprised at his surprise party,will bob be surprised at his surprise party,0.0,KEEP
17598184_positive_score2.wav,17598184,"I love action movies, not boring dramas.", I love action movies. Not boring dramas.,i love action movies not boring dramas,i love action movies not boring dramas,0.0,KEEP
79664536_negative_score-3.wav,79664536,Jim assaulted a man and now the man is threatening to sue Jim., Jim assaulted a man and now the man is threatening to sue Jim.,jim assaulted a man and now the man is threatening to sue jim,jim assaulted a man and now the man is threatening to sue jim,0.0,KEEP
32100_negative_score-2.wav,32100,Wow! That watch costs three thousand dollars!," Wow. That watch costs $3,000.",wow that watch costs three thousand dollars,wow that watch costs 3000,0.4286,DISCARD
253917_negative_score-1.wav,253917,"Ask another group, the CRASHED group about the car and whether if the glass is broken."," ask another group, the crashed group, about the car and whether if the glass is broken.",ask another group the crashed group about the car and whether if the glass is broken,ask another group the crashed group about the car and whether if the glass is broken,0.0,KEEP
2682847_negative_score-3.wav,2682847,The car is broken., The car is broken.,the car is broken,the car is broken,0.0,KEEP
3380433_negative_score-2.wav,3380433,"If John eats spinach, he will get sick."," Oh, if Johnny's spinach, he will get sick.",if john eats spinach he will get sick,oh if johnnys spinach he will get sick,0.375,DISCARD
845270_positive_score3.wav,845270,My friend is going out to a party., My friend is going out to a party.,my friend is going out to a party,my friend is going out to a party,0.0,KEEP
844864_negative_score-3.wav,844864,"Once my friend starts playing video games, he is hooked to it all night until his eyes pop out."," Once my friend starts playing video games, he is hooked to it all night until his eyes pop out.",once my friend starts playing video games he is hooked to it all night until his eyes pop out,once my friend starts playing video games he is hooked to it all night until his eyes pop out,0.0,KEEP
69413690_negative_score-3.wav,69413690,Last night I rented an awful movie.," Last night, I rented an awful movie.",last night i rented an awful movie,last night i rented an awful movie,0.0,KEEP
842226_negative_score-1.wav,842226,Does your friend really love surfing the internet?, The self-friend really loved self-ing the internet.,does your friend really love surfing the internet,the selffriend really loved selfing the internet,0.625,DISCARD
36298782_negative_score-2.wav,36298782,The weather is lousy today., The weather is lousy today.,the weather is lousy today,the weather is lousy today,0.0,KEEP
31656468_positive_score3.wav,31656468,Striped shirts are cool because they look good on me., Stripe shirts are cool because they look good on me. Stripe shirts,striped shirts are cool because they look good on me,stripe shirts are cool because they look good on me stripe shirts,0.3,DISCARD
17593193_positive_score3.wav,17593193,I love riding in airplanes and flying different places.," And so with what I've learned, there are not, there's no problematic time, because I would rhythm in my cache, or attentions where different metal.",i love riding in airplanes and flying different places,and so with what ive learned there are not theres no problematic time because i would rhythm in my cache or attentions where different metal,2.4444,DISCARD
257265_negative_score-3.wav,257265,"When a deaf child does not have a Deaf mentor, the family will continue to be disappointed and their grief will last longer."," When a deaf child does not have a deaf mentor, the family will continue to be disappointed and their grief will last longer.",when a deaf child does not have a deaf mentor the family will continue to be disappointed and their grief will last longer,when a deaf child does not have a deaf mentor the family will continue to be disappointed and their grief will last longer,0.0,KEEP
1540021_negative_score-2.wav,1540021,"""Mc Donalds is a snobby restaurant right?"" ""No, Mcdonalds is a cheap restaurant. They serve hamburgers."""," McDonald's is a snobby restaurant, right? No, McDonald's is a cheap restaurant. They serve hamburgers.",mc donalds is a snobby restaurant right no mcdonalds is a cheap restaurant they serve hamburgers,mcdonalds is a snobby restaurant right no mcdonalds is a cheap restaurant they serve hamburgers,0.125,DISCARD
7422_negative_score-2.wav,7422,"If I forget to go to the store, my mother will be upset."," If I forget to go to the store, my mother will be upset.",if i forget to go to the store my mother will be upset,if i forget to go to the store my mother will be upset,0.0,KEEP
26827616_negative_score-1.wav,26827616,"Cousin John's car broke down, do you remember?"," Kazenjohn's car broke down. Do you remember, right?",cousin johns car broke down do you remember,kazenjohns car broke down do you remember right,0.375,DISCARD
31655087_negative_score-2.wav,31655087,Bad weather is in Boston because the ocean is near., bad weather is in Boston because the ocean is near.,bad weather is in boston because the ocean is near,bad weather is in boston because the ocean is near,0.0,KEEP
8395867_positive_score3.wav,8395867,"Wow, that coat you just bought looks warm!", the coat you just bought looks warm and you,wow that coat you just bought looks warm,the coat you just bought looks warm and you,0.5,DISCARD
845675_positive_score3.wav,845675,"My friend loves travelling, especially in Asian countries because there`s more of a variety of things to do, compared to other countries."," And my friend loves traveling, especially in Asian countries, because there's more of a variety of things to do compared to other countries.",my friend loves travelling especially in asian countries because theres more of a variety of things to do compared to other countries,and my friend loves traveling especially in asian countries because theres more of a variety of things to do compared to other countries,0.0909,KEEP
79792122_positive_score3.wav,79792122,My friend just crashed a party because he recently finished his last exam., just finish his last exam and have his role. My friend just crashed a party because he reached and he finished his last exam.,my friend just crashed a party because he recently finished his last exam,just finish his last exam and have his role my friend just crashed a party because he reached and he finished his last exam,0.9231,DISCARD
845472_positive_score1.wav,845472,My friend loves to go fishing because he loves to eat fish., My friend loves to go fishing because he loves to eat fish.,my friend loves to go fishing because he loves to eat fish,my friend loves to go fishing because he loves to eat fish,0.0,KEEP
255946_negative_score-1.wav,255946,The parents might will perceive this as something they should to be upset about., The parents might will perceive this as something they should to be upset about.,the parents might will perceive this as something they should to be upset about,the parents might will perceive this as something they should to be upset about,0.0,KEEP
841314_positive_score1.wav,841314,My friend is playing video games., My friend is playing video games.,my friend is playing video games,my friend is playing video games,0.0,KEEP
7983954_negative_score-1.wav,7983954,My friends crashed the party.," my friends, uh, crashed the party. Uh,",my friends crashed the party,my friends uh crashed the party uh,0.4,DISCARD
7981490_positive_score3.wav,7981490,Bob wrote and sent a love letter to his wife because their anniversary is coming up soon., Bob wrote and sent a love letter to his wife because their university is coming up soon.,bob wrote and sent a love letter to his wife because their anniversary is coming up soon,bob wrote and sent a love letter to his wife because their university is coming up soon,0.0588,KEEP
8399614_negative_score-2.wav,8399614,I thought it was terribly boring., I thought it was terribly boring.,i thought it was terribly boring,i thought it was terribly boring,0.0,KEEP
844153_positive_score2.wav,844153,"If my friend goes out to a party, my roommate and I will join."," If my friend goes out to a party, I will join.",if my friend goes out to a party my roommate and i will join,if my friend goes out to a party i will join,0.2143,DISCARD
844356_negative_score-1.wav,844356,"If my friend goes out fishing, I have to monitor the weather to make sure it`s fine for fishing."," If my friend goes out fishing, I have to monitor the weather to make sure it's fine for fishing.",if my friend goes out fishing i have to monitor the weather to make sure its fine for fishing,if my friend goes out fishing i have to monitor the weather to make sure its fine for fishing,0.0,KEEP
845473_positive_score3.wav,845473,My friend is planning to surprise Bob because he's turning 21., My friend is planning to surprise Bob because he's turning 21.,my friend is planning to surprise bob because hes turning 21,my friend is planning to surprise bob because hes turning 21,0.0,KEEP
254829_positive_score2.wav,254829,"Why don't they use a word like ""identified"" as in ""I've identified this child deaf""? Now it does not seem bad at all."," Why don't they use a word like identified as in? Have identified this child death? No, it does not seem bad at all.",why dont they use a word like identified as in ive identified this child deaf now it does not seem bad at all,why dont they use a word like identified as in have identified this child death no it does not seem bad at all,0.1304,DISCARD
1677_negative_score-3.wav,1677,That dress is not my favorite., That dress is not my favorite.,that dress is not my favorite,that dress is not my favorite,0.0,KEEP
845878_positive_score3.wav,845878,My friend loves the Internet because there are many different websites., My friend loves the internet because there are many different websites.,my friend loves the internet because there are many different websites,my friend loves the internet because there are many different websites,0.0,KEEP
17592194_negative_score-2.wav,17592194,Alcohol is not always good., Alcohol is not always good.,alcohol is not always good,alcohol is not always good,0.0,KEEP
256352_positive_score2.wav,256352,He/she can read and write. He/she can communicate. He/she can work. He/she has an education. There's a long list of that and he/she is perfectly fine., He's she can read and write. He's she can communicate. He's she can work. He has an education. There's a long list of that. And he is perfectly fine.,heshe can read and write heshe can communicate heshe can work heshe has an education theres a long list of that and heshe is perfectly fine,hes she can read and write hes she can communicate hes she can work he has an education theres a long list of that and he is perfectly fine,0.3077,DISCARD
58734020_negative_score-3.wav,58734020,"If you spell even one word wrong, he will take away points for it!"," If you spell even one word wrong, he will take away coins for it.",if you spell even one word wrong he will take away points for it,if you spell even one word wrong he will take away coins for it,0.0714,KEEP
3382011_negative_score-3.wav,3382011,"If Mary gets home late, John will probably be upset."," If Mary gets home made, uh, Townal Polly be upset.",if mary gets home late john will probably be upset,if mary gets home made uh townal polly be upset,0.4,DISCARD
841111_positive_score3.wav,841111,My friend is currently planning a surprise event., um you can be seen my friend when we be have uh uh seen my friend is currently planning a surprise event,my friend is currently planning a surprise event,um you can be seen my friend when we be have uh uh seen my friend is currently planning a surprise event,1.75,DISCARD
58734712_negative_score-2.wav,58734712,"If I don't study, I am guaranteed to fail."," If I don't study, I am guaranteed to fail.",if i dont study i am guaranteed to fail,if i dont study i am guaranteed to fail,0.0,KEEP
171111_positive_score3.wav,171111,The weather is beautiful today., And the weather is beautiful today.,the weather is beautiful today,and the weather is beautiful today,0.2,DISCARD
64778101_positive_score2.wav,64778101,"When on the phone the person may perceive who they're talking to as being tall, smart, good looking and nice. They agree to meet the person the next day near the train and hang up", One on the phone the person may perceive who they're talking to as being tall Smart good looking and nice They agree to meet the person the next day near the train and hang up,when on the phone the person may perceive who theyre talking to as being tall smart good looking and nice they agree to meet the person the next day near the train and hang up,one on the phone the person may perceive who theyre talking to as being tall smart good looking and nice they agree to meet the person the next day near the train and hang up,0.0286,KEEP
5572615_negative_score-2.wav,5572615,Mother has to clean the kitchen soon because a group of friends are coming over for the weekend., Another has to clean the kitchen soon because the group of friends are coming over for the weekend.,mother has to clean the kitchen soon because a group of friends are coming over for the weekend,another has to clean the kitchen soon because the group of friends are coming over for the weekend,0.1111,DISCARD
17077_negative_score-1.wav,17077,The weather is lousy today., The weather is lousy today.,the weather is lousy today,the weather is lousy today,0.0,KEEP
1539625_negative_score-2.wav,1539625,"""Your mom will love the surprise party."" ""No, my mom hates surprises.""", Your mom will love the surprise party. No. My mom hates surprises.,your mom will love the surprise party no my mom hates surprises,your mom will love the surprise party no my mom hates surprises,0.0,KEEP
7700328_positive_score2.wav,7700328,Friends went out camping; they enjoyed it., And myself and my girls and my girls all sets. You can find whatever you're sounding. We think that's we.,friends went out camping they enjoyed it,and myself and my girls and my girls all sets you can find whatever youre sounding we think thats we,2.8571,DISCARD
26827517_negative_score-1.wav,26827517,"It wasn't John whose car broke down, it was Mary.", It wasn't John who's car break down. It was... Mary.,it wasnt john whose car broke down it was mary,it wasnt john whos car break down it was mary,0.2,DISCARD
66058307_negative_score-1.wav,66058307,"and even worse, whose is the voice that you're associating with a persona."," and even worse, who's is the voice that you're associating with a passana.",and even worse whose is the voice that youre associating with a persona,and even worse whos is the voice that youre associating with a passana,0.1538,DISCARD
36918922_positive_score3.wav,36918922,I bought a gift for my mom. She will love it!, And you can turn on a flood before I bought a gift. And she love it. I bought a gift for my mom. She'll love it. And you can turn on a flood before I bought a gift.,i bought a gift for my mom she will love it,and you can turn on a flood before i bought a gift and she love it i bought a gift for my mom shell love it and you can turn on a flood before i bought a gift,2.7273,DISCARD
173441_negative_score-3.wav,173441,"No, John didn't break the truck, Mary broke the truck."," No, John didn't break the track, Mary wrote the track.",no john didnt break the truck mary broke the truck,no john didnt break the track mary wrote the track,0.3,DISCARD
8396754_negative_score-2.wav,8396754,Why is father upset?, Why is father upset?,why is father upset,why is father upset,0.0,KEEP
7987410_negative_score-3.wav,7987410,"If I fail a test, my mom will blow her top."," If I fail a test, my mom will blow over top.",if i fail a test my mom will blow her top,if i fail a test my mom will blow over top,0.0909,KEEP
26827419_negative_score-1.wav,26827419,"John didn't get into an accident with a truck, he got into an accident with another car.", John didn't get into an accident with a truck. He got into an accident with another car.,john didnt get into an accident with a truck he got into an accident with another car,john didnt get into an accident with a truck he got into an accident with another car,0.0,KEEP
31655186_negative_score-2.wav,31655186,I have to pay double the rent because I missed the last one., I have to pay double the rent because I missed the last one.,i have to pay double the rent because i missed the last one,i have to pay double the rent because i missed the last one,0.0,KEEP
26827321_negative_score-2.wav,26827321,The car is broken., The car is broken.,the car is broken,the car is broken,0.0,KEEP
58734613_negative_score-2.wav,58734613,"If I don't study, I am guaranteed to fail."," If I don't steady, I am guaranteed to fail.",if i dont study i am guaranteed to fail,if i dont steady i am guaranteed to fail,0.1111,DISCARD
29525_negative_score-3.wav,29525,The kids hate their principal because he bawls them out if they have not done their homework., the kids hate their principal because he balls them out if they have not done their homework.,the kids hate their principal because he bawls them out if they have not done their homework,the kids hate their principal because he balls them out if they have not done their homework,0.0588,KEEP
17590198_negative_score-3.wav,17590198,My worst enemy is my alarm clock., My worst enemy is my alarm clock.,my worst enemy is my alarm clock,my worst enemy is my alarm clock,0.0,KEEP
58734317_negative_score-2.wav,58734317,"If there's an emergency, where will you go?"," if there's an emergency, where will you go?",if theres an emergency where will you go,if theres an emergency where will you go,0.0,KEEP
36294790_negative_score-2.wav,36294790,The weather isn't beautiful today., Huh! The weather is beautiful today.,the weather isnt beautiful today,huh the weather is beautiful today,0.4,DISCARD
7982377_neutral_score0.wav,7982377,Is playing frisbee fun?, as playing Frisbee fun.,is playing frisbee fun,as playing frisbee fun,0.25,DISCARD
8396064_positive_score3.wav,8396064,Your mom will love the gift you just bought for her., Your model loved the gift you just bought for her.,your mom will love the gift you just bought for her,your model loved the gift you just bought for her,0.2727,DISCARD
79791123_positive_score3.wav,79791123,My friend went ahead and hosted a pizza dinner because he loves pizza., My friend went ahead and hosted a pizza dinner because he loves pizza.,my friend went ahead and hosted a pizza dinner because he loves pizza,my friend went ahead and hosted a pizza dinner because he loves pizza,0.0,KEEP
172630_neutral_score0.wav,172630,"No no no, I hate chocolate cereal."," No no no, I hate chocolate cereal.",no no no i hate chocolate cereal,no no no i hate chocolate cereal,0.0,KEEP
7981589_negative_score-1.wav,7981589,Did my friend go ahead with crashing the party?, I told me about the prairie of that Y. I told me about that in this 11. Did my friend go ahead with crushing the party?,did my friend go ahead with crashing the party,i told me about the prairie of that y i told me about that in this 11 did my friend go ahead with crushing the party,2.0,DISCARD
7981194_negative_score-1.wav,7981194,The teacher must clean the classroom everyday so that when the students come to class it will be clean., The teacher must clean the classroom every day so that when the students come the class it will be clean.,the teacher must clean the classroom everyday so that when the students come to class it will be clean,the teacher must clean the classroom every day so that when the students come the class it will be clean,0.1579,DISCARD
36292794_positive_score3.wav,36292794,"Yes, I like pineapple cream cheese."," Um, yeah, like pineapple cream cheese.",yes i like pineapple cream cheese,um yeah like pineapple cream cheese,0.3333,DISCARD
7343510_positive_score1.wav,7343510,"If my friends go out, I will join them."," If my friends go out, I will join them.",if my friends go out i will join them,if my friends go out i will join them,0.0,KEEP
3380334_negative_score-2.wav,3380334,"If John eats spinach, he will get nauseous and sick."," If John eats spinach, he will get nauseous and sick.",if john eats spinach he will get nauseous and sick,if john eats spinach he will get nauseous and sick,0.0,KEEP
362_negative_score-2.wav,362,Why is the teacher upset?, Why is the teacher upset?,why is the teacher upset,why is the teacher upset,0.0,KEEP
8841_positive_score3.wav,8841,That picture you gave me was beautiful.," Uh, okay, well, I think that, oh, um, that picture you gave me was, was beautiful, you know.",that picture you gave me was beautiful,uh okay well i think that oh um that picture you gave me was was beautiful you know,1.5714,DISCARD
17584208_positive_score2.wav,17584208,"I was picked to join the club. Wow, it was an honor."," I was ticked to join the club. Wow, it was it was an honor.",i was picked to join the club wow it was an honor,i was ticked to join the club wow it was it was an honor,0.25,DISCARD
5572412_positive_score2.wav,5572412,The park is crowded because the kids love playing there., The park is crowded because the kids love playing there.,the park is crowded because the kids love playing there,the park is crowded because the kids love playing there,0.0,KEEP
6814_positive_score3.wav,6814,The sandwich I just ate was delicious!, The sandwich I just ate was delicious.,the sandwich i just ate was delicious,the sandwich i just ate was delicious,0.0,KEEP
844762_negative_score-1.wav,844762,"If my friend goes travelling, I just have to join."," If my friend goes traveling, I just have to join.",if my friend goes travelling i just have to join,if my friend goes traveling i just have to join,0.1,KEEP
5572413_positive_score3.wav,5572413,"I like the beach better than the lake because the beach has waves, while the lake has none."," I like the beach better than the lake, because the beach has waves while the lake has none.",i like the beach better than the lake because the beach has waves while the lake has none,i like the beach better than the lake because the beach has waves while the lake has none,0.0,KEEP
31660612_negative_score-1.wav,31660612,Mother is now ill., Mother is now ill.,mother is now ill,mother is now ill,0.0,KEEP
31655777_positive_score1.wav,31655777,Is it fine if my friend crashes the party?, Is it fine if my friend cauches the party?,is it fine if my friend crashes the party,is it fine if my friend cauches the party,0.1111,DISCARD
7986817_positive_score3.wav,7986817,Was the movie good? Yes it was wonderful.," was the movie good. Yes, it was wonderful. And you say,",was the movie good yes it was wonderful,was the movie good yes it was wonderful and you say,0.375,DISCARD
24363254_positive_score2.wav,24363254,The growth of signing went in one direction; the growth of speaking went in another., The growth of signing went in one direction. The growth of speaking went in another.,the growth of signing went in one direction the growth of speaking went in another,the growth of signing went in one direction the growth of speaking went in another,0.0,KEEP
5596228_negative_score-3.wav,5596228,Why is dad upset? I have no idea...," Oh, why is that upset? I've no idea.",why is dad upset i have no idea,oh why is that upset ive no idea,0.5,DISCARD
31657848_negative_score-3.wav,31657848,Is Mother sick?," Ah, his mother sick.",is mother sick,ah his mother sick,0.6667,DISCARD
24480520_negative_score-1.wav,24480520,"Deaf people made progress with the growth of signing.  The progress could have been greater, but it wasn't permitted."," Again, deaf people made progress with the growth of signing. The progress could have been greater, but it wasn't permitted.",deaf people made progress with the growth of signing  the progress could have been greater but it wasnt permitted,again deaf people made progress with the growth of signing the progress could have been greater but it wasnt permitted,0.0526,KEEP
842327_positive_score1.wav,842327,Does your friend love surfing the Internet?, Does your friend love surfing the internet?,does your friend love surfing the internet,does your friend love surfing the internet,0.0,KEEP
841618_negative_score-1.wav,841618,Is your friend`s party good?, It's your friend's party good.,is your friends party good,its your friends party good,0.2,DISCARD
845676_negative_score-3.wav,845676,My friend plays video games all day because he does nothing else., My friend plays video games all day because he does nothing else.,my friend plays video games all day because he does nothing else,my friend plays video games all day because he does nothing else,0.0,KEEP
8398331_negative_score-1.wav,8398331,"What? No, right now we're in an economic crisis."," What? No! Right now, we're in an economic crisis.",what no right now were in an economic crisis,what no right now were in an economic crisis,0.0,KEEP
