id	duration	text
--8pSDeC-fg_4-5-rgb_front	6.96	Low self esteem or a low feeling about oneself is unfortunately very common.
--8pSDeC-fg_5-5-rgb_front	3.0	But fortunately it's very fixable.
--8pSDeC-fg_6-5-rgb_front	4.92	When one has low self esteem, the way you can tell is look in the mirror.
--8pSDeC-fg_7-5-rgb_front	2.04	How do you feel about yourself?
--8pSDeC-fg_8-5-rgb_front	1.33	What do you see?
--8pSDeC-fg_9-5-rgb_front	5.79	Do you see the positive parts of your personality or do you notice the negative?
-00cp1iGiDw_1-5-rgb_front	5.26	If you like to find more about my services you can visit my website canineheadstart.com.
-00cp1iGiDw_10_11-5-rgb_front	16.6	So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.
-00cp1iGiDw_12-5-rgb_front	16.6	It works right away and it will actually kill all of the fleas that are on the dog for the next 24 hours and it start working in about 30 minutes.
-00cp1iGiDw_13-5-rgb_front	22.48	So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.
-00cp1iGiDw_14-5-rgb_front	8.63	Again this is a oral preventive and this is also a oral preventive.
-00cp1iGiDw_15-5-rgb_front	8.43	We are going to be talking about external flea prevention in the next video.
-00cp1iGiDw_2-5-rgb_front	7.09	So we are going to be talking about flea prevention in this short video clip.
-00cp1iGiDw_3-5-rgb_front	12.35	There are a number of products out there that you can use on your dog obviously one way to prevent fleas is not have you dog go out side but that is not really realistic.
-00cp1iGiDw_4-5-rgb_front	5.63	So we are going to be talking about products that you can use to prevent fleas.
-00cp1iGiDw_5-5-rgb_front	7.88	In the last of couple of years there has been a increase of different types of options out there that you can use.
-00cp1iGiDw_6-5-rgb_front	8.43	I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.
-00cp1iGiDw_7-5-rgb_front	24.15	So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.
-00cp1iGiDw_8-5-rgb_front	34.66	The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.
-00cp1iGiDw_9-5-rgb_front	12.43	cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.
-06_nJnhORg_0-5-rgb_front	18.14	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.
-06_nJnhORg_1-5-rgb_front	3.84	But things just don't go right from the very beginning.
-06_nJnhORg_10-5-rgb_front	7.38	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend.
-06_nJnhORg_11-5-rgb_front	3.75	So Thursdays are really jam-packed.
-06_nJnhORg_12-5-rgb_front	13.22	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.
-06_nJnhORg_13-5-rgb_front	6.97	And, I had one of those days where I just woke up and things just didn't want to go my way.
-06_nJnhORg_14-5-rgb_front	5.42	So I...I continued to fight through it, fight through it...didn't feel real great.
-06_nJnhORg_15-5-rgb_front	8.55	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late.
-06_nJnhORg_16-5-rgb_front	10.39	So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked.
-06_nJnhORg_17-5-rgb_front	16.77	And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras.
-06_nJnhORg_18-5-rgb_front	8.26	I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car.
-06_nJnhORg_19-5-rgb_front	2.88	And, so, that was kind of tough.
-06_nJnhORg_2-5-rgb_front	19.23	You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working.
-06_nJnhORg_20-5-rgb_front	12.3	So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job.
-06_nJnhORg_21-5-rgb_front	14.35	So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better.
-06_nJnhORg_3-5-rgb_front	15.52	Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home.
-06_nJnhORg_4_5-5-rgb_front	23.98	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.
-06_nJnhORg_6_7-5-rgb_front	10.39	And...and that makes it tough for me, I don't...I don't like to do that at all. So that's probably the hardest part, is, if I don't start my day right.
-06_nJnhORg_8-5-rgb_front	9.18	So, I kind of have to mentally prepare myself for my day, so, that's probably the hardest day for me, is not preparing myself.
-06_nJnhORg_9-5-rgb_front	2.67	One of my toughest days are Thursdays.
-08ZGCviCm4_0-5-rgb_front	8.09	Hello welcome my name is Julio Nutt and I am a master instructor of the Jim McLean Golf School in Miami, Florida.
-08ZGCviCm4_1-5-rgb_front	6.97	In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.
-08ZGCviCm4_2-5-rgb_front	8.59	In golf you have got to learn to shift your weight forward in order to hit the ball and transfer your weight into your left side.
-08ZGCviCm4_3-5-rgb_front	17.81	But many amateurs when hitting the ball they hang to the right side, they get their arms really close and tight to their bodies and they have a lot of difficulty transferring their weight into their left side.
-08ZGCviCm4_4-5-rgb_front	16.43	Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.
-08ZGCviCm4_5-5-rgb_front	9.55	So right now I'm not going to think about hitting the golf ball, I'm going to think about throwing the shaft.
-08ZGCviCm4_6-5-rgb_front	13.81	So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.
-08ZGCviCm4_7-5-rgb_front	3.38	That is a great tip that I give to a lot of my students.
-08ZGCviCm4_8-5-rgb_front	8.68	When hitting the ball think about throwing the club and that is going to generate extension and weight transfer.
-08ZGCviCm4_9-5-rgb_front	3.09	This is Julio Nutt at the Jim McLean Golf School.
-0BynF9TSNI_1-5-rgb_front	10.05	Today I'm going to take you back into time and I'm going to show you one of my grandmother's favorite things to make the kids and that was sweet bruschetta.
-0BynF9TSNI_10-5-rgb_front	8.3	This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.
-0BynF9TSNI_11-5-rgb_front	1.67	The kids will love you for it.
-0BynF9TSNI_12-5-rgb_front	6.17	I'll show you the ingredients, utensils it's literally 15 minutes and it's done.
-0BynF9TSNI_13-5-rgb_front	1.08	I hope you make it.
-0BynF9TSNI_2-5-rgb_front	9.34	Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.
-0BynF9TSNI_4-5-rgb_front	5.96	But today we're going to show you one for the kids and especially the big kids like me.
-0BynF9TSNI_5-5-rgb_front	1.42	I mean this is nice.
-0BynF9TSNI_6-5-rgb_front	4.21	You're going to use a whole bunch of things like bananas is the main thing.
-0BynF9TSNI_7-5-rgb_front	5.59	When you put in beneath that flame, it glazes and just comes out spectacular.
-0BynF9TSNI_8-5-rgb_front	3.13	I'm going to show you all the ingredients of this recipe.
-0BynF9TSNI_9-5-rgb_front	4.46	This is at least 60, 70s years old I think.
-0FA6OhxZSE_0-5-rgb_front	0.96	DAVID CLEMEN: Hi.
-0FA6OhxZSE_10-5-rgb_front	8.68	I'm left-handed but I played sports with right, so I do squeegee with the right hand.
-0FA6OhxZSE_11-5-rgb_front	2.96	And so, that's squeegeeing the second color.
-0FA6OhxZSE_2-5-rgb_front	4.88	Alright, now that I've plopped my white paint, I'm going to pick up my favorite tool again.
-0FA6OhxZSE_3-5-rgb_front	3.55	And I'm just going to come in here and just kinda fill it out.
-0FA6OhxZSE_4-5-rgb_front	34.45	And now, when you mix the red and white in big areas, if it's too much red and you don't move it fast enough, you'll start to get pink so I want to try and keep the integrity of the white and I'm just going to move that fast, and see how--I don't know if you can see it, but since the paint has kind of dried quickly on this paint on the wood, it's already created a texture underneath of it.
-0FA6OhxZSE_5-5-rgb_front	5.13	So, now, I'm getting this texture of the paint underneath of it.
-0FA6OhxZSE_6-5-rgb_front	9.47	So, I'm just going to come in here and do these big squeegee marks and not going to go too crazy with it.
-0FA6OhxZSE_7-5-rgb_front	3.8	And I'm not trying to cover up all the red.
-0FA6OhxZSE_8-5-rgb_front	10.47	I'm just trying to get certain areas and show the white on the top of the red.
-0FA6OhxZSE_9-5-rgb_front	13.22	And then, I can come in and I can actually just do almost like, I guess you would say it's like almost a karate chop or samurai swing to the right or left.
-0JdYlTf9Y8_0_1-5-rgb_front	10.88	In this clip we're going to talk about how to buy a trophy. Most people will come into my show room and they'll ask me how much is a twenty inch trophy.
-0JdYlTf9Y8_10-5-rgb_front	5.62	So when it comes to buying a trophy, it's not how tall it is for the dollar.
-0JdYlTf9Y8_11-5-rgb_front	2.58	It's really, what you get for your dollar.
-0JdYlTf9Y8_2-5-rgb_front	7.08	And I say to them we don't sell trophies by the inch, and I give them this fine example here.
-0JdYlTf9Y8_3-5-rgb_front	2.33	This is a forty-eight inch trophy.
-0JdYlTf9Y8_4-5-rgb_front	7.67	If you go to any trophy store and they can offer you this forty-eight inch trophy for as little as $20.
-0JdYlTf9Y8_5-5-rgb_front	8.67	As you can see, if you were to buy a trophy by the inch, someone could sell you this and you wouldn't be very happy with it.
-0JdYlTf9Y8_6-5-rgb_front	11.38	So my recommendation is not to try and buy a trophy based on how tall it is but take into consideration the materials that it's made of.
-0JdYlTf9Y8_7-5-rgb_front	5.46	We use marble bases that are imported directly from Italy.
-0JdYlTf9Y8_8-5-rgb_front	9.33	We also put little felt dots on the bottom of the trophies and that keeps them from scratching your furniture when you get home.
-0JdYlTf9Y8_9-5-rgb_front	6.71	A lot of times people will try and save money in building a trophy by leaving out these little things.
-0N0jbyBW6g_0-5-rgb_front	0.63	Hello.
-0N0jbyBW6g_1-5-rgb_front	4.34	We're going to be speaking about cross stitch craft kits today.
-0N0jbyBW6g_10-5-rgb_front	1.71	My name is Daniel King.
-0N0jbyBW6g_11-5-rgb_front	0.67	Thank you.
-0N0jbyBW6g_2-5-rgb_front	7.17	My name is Daniel King, and I'm an experienced pattern maker, designer and sewer.
-0N0jbyBW6g_3-5-rgb_front	8.17	Cross stitch craft kits are kits that you can order through many craft stores or art supply stores.
-0N0jbyBW6g_4-5-rgb_front	3.96	These kits allow you to do different designs.
-0N0jbyBW6g_5-5-rgb_front	11.68	What the kit incorporates is a fabric background, usually the different colored threads, and a hoop for hooping and taut, to make the fabric taut.
-0N0jbyBW6g_6-5-rgb_front	11.34	With these designs you can make, typically, any type of plaque, maybe stockings for Christmas, or even portraits.
-0N0jbyBW6g_7-5-rgb_front	13.64	It allows you to take these different threads and stitch one through the fabric and to follow along the design to create whatever design it is.
-0N0jbyBW6g_8-5-rgb_front	11.85	These kits are available in most craft stores, and it gives you some flexibility as to what kind of designs you like.
-0N0jbyBW6g_9-5-rgb_front	5.21	Again, we're talking about cross stitch....cross stitch craft kits.
-0ZqnVFv7eI_0-5-rgb_front	2.63	This is Robert Stewart, with Hill13.com.
-0ZqnVFv7eI_1-5-rgb_front	20.48	Now, we're going to talk about some advanced tactics, and the importance of employing all that you've learned in terms of individual drilling, and all of the basic tactical awarenesses and skills you need to have, to function as a highly effective player.
-0ZqnVFv7eI_2-5-rgb_front	6.59	When you get into advance tactics, you're talking about a lot of teamwork.
-0ZqnVFv7eI_3-5-rgb_front	29.82	You're talking about everyone on your team, having those individual skills down, and being able to use them in concert with one another, so we're going to be going over the taking of buildings, the defending of buildings, and the critical elements required tactically, to integrate a team together, and have them function as a single system, with a goal, where everyone on the team is working together.
-0ZqnVFv7eI_4-5-rgb_front	5.59	A lot of what's required, is stressing the importance of communication.
-0ZqnVFv7eI_5-5-rgb_front	4.8	It's stressing the importance of maintaining your situational awareness.
-0ZqnVFv7eI_6-5-rgb_front	15.64	Knowing what's happening with your other team members at all times, and inside of the shifting dynamics, having the tactical skills necessary, to support, defend, and be aggressive, at the same time.
-0daC3SWCPQ_0-5-rgb_front	0.5	Hello!
-0daC3SWCPQ_1-5-rgb_front	1.88	We are Terry and Laura Neven.
-0daC3SWCPQ_10-5-rgb_front	7.42	When you teach your children at home, it allows you a greater opportunity to have time as a family.
-0daC3SWCPQ_11-5-rgb_front	6.38	One important reason for the benefit of home schooling is academic success.
-0daC3SWCPQ_12-5-rgb_front	10.72	Researh says that the average home school child is 1 to 2 grades levels above their public or private school peers.
-0daC3SWCPQ_13-5-rgb_front	6.84	These are just some of the wonderful benefits why families home school.
-0daC3SWCPQ_2-5-rgb_front	7.05	I am the administrator of California educators and principal of Sunland Christian School.
-0daC3SWCPQ_3-5-rgb_front	4.17	This clip we will talk about the benefits to home schooling.
-0daC3SWCPQ_4-5-rgb_front	18.56	Many families begin to home school not because of concerns of academics or because of concerns of the local public or private school because they are concerned about things relative to the family.
-0daC3SWCPQ_5-5-rgb_front	4.8	Home schooling can provide a great opportunity for family unity.
-0daC3SWCPQ_6-5-rgb_front	4.46	To do things together, to learn together and to grow together.
-0daC3SWCPQ_7-5-rgb_front	7.84	In specifically Southern California there is a lot of issues relative to a flexibility of schedule.
-0daC3SWCPQ_8-5-rgb_front	5.92	It is important to understand that home schooling allows for great flexibility.
-0daC3SWCPQ_9-5-rgb_front	6.51	Moms are already running around like chickens with their heads cut off, taxing kids here and there.
-0oP2H0vAGY_1-5-rgb_front	7.05	"This is a great ""who dun it"" guessing game and you should use a minimum of 6-8 people."
-0oP2H0vAGY_10-5-rgb_front	5.13	When the murderer chooses they will choose a victim and kill them.
-0oP2H0vAGY_11-5-rgb_front	9.8	How they will do that is by shaking their hand and doing a little tickle inside.
-0oP2H0vAGY_12-5-rgb_front	11.89	So just scratching the inside of the hand but doing it very discreetly so that no one else sees when the victim has been killed.
-0oP2H0vAGY_13-5-rgb_front	13.39	They have to shake three more hands just so that it's not obvious who killed them and then they get to choose a way they want to die nice, and big, and dramatic.
-0oP2H0vAGY_14-5-rgb_front	15.35	"So if I was to kill David ""hi, how are you"", he's going to shake three more hands and on the third hand die."
-0oP2H0vAGY_15-5-rgb_front	19.85	"""Aahh"", good, then we have our victim dead lying on the floor and the rest of us have to try to figure out who killed him."
-0oP2H0vAGY_16-5-rgb_front	8.34	Now again only the person running the game and the person that's dead knows, but the person that's dead can't say anything.
-0oP2H0vAGY_17-5-rgb_front	55.14	"So you vote and the majority wins so whoever you want to, its kind of a witch hunt at this point, you just pick and choose who you think might look suspicious and if that person actually is indeed the murderer lets say you say ""ah"", everyone agrees it was Joe, the person running the game knows if its Joe or not if it was Joe they say ""yes, you guys have won"", if its not they just say ""nope, that is not the murderer"", and you just, Joe has to die though and then the games goes again and again until either the murderer is killed every body off without being killed themselves or until they've been found out by the crowd."
-0oP2H0vAGY_18-5-rgb_front	1.63	And that's how you play murderer.
-0oP2H0vAGY_2-5-rgb_front	1.84	The more the merrier.
-0oP2H0vAGY_3-5-rgb_front	3.67	What you do one, is choose one person who is just going to run the game.
-0oP2H0vAGY_4-5-rgb_front	18.06	They don't actually get to participate, so if you are playing this with kids maybe if you have an adult in the room they could choose to be the one running the game or just maybe an adult that doesn't feel like playing if its a group of adults they can run the game.
-0oP2H0vAGY_5-5-rgb_front	11.22	Basically, they are going to have all the adults close their eyes or kids close or cover your eyes and the person running the game will choose one person to be the murderer.
-0oP2H0vAGY_6-5-rgb_front	3.88	They just choose them by tapping them gently on the head.
-0oP2H0vAGY_7-5-rgb_front	5.55	That person is the murderer only they know it and the person running the game knows it.
-0oP2H0vAGY_8-5-rgb_front	3.71	Everybody's eyes open and the game begins.
-0oP2H0vAGY_9-5-rgb_front	10.01	"You just start walking around the room shaking everybody's hands with a nice greeting ""hi, how are you"", ""hi, how are you""."
-0sphqZT1eQ_1-5-rgb_front	6.55	Today I'm going to teach you how to become a competitive baseball player.
-0sphqZT1eQ_2-5-rgb_front	7.09	In this segment we're going to demonstrate batting practice with live pitching.
-0sphqZT1eQ_3-5-rgb_front	12.14	Now as oppose of the machine, the machine pitches automatic fastballs and an automatic curve balls going from one angle to one angle only.
-0sphqZT1eQ_4-5-rgb_front	18.81	Life pitching determines more of a simulated angle of the game as the pitchers as hitters are seeing pitchers from various arm angles to where they can adjust to improve there hitting.
-0sphqZT1eQ_5-5-rgb_front	8.05	This makes to be a more effective hitting practice regiment than the machine.
-0sphqZT1eQ_6-5-rgb_front	4.05	The machine is mainly for timing for fastballs.
-0sphqZT1eQ_7-5-rgb_front	12.18	But as opposed to the live pitching you get various angles, live angles from an actual pitcher when hitting the ball.
-0sphqZT1eQ_8-5-rgb_front	13.35	Normally for a lefty, you would set this type of a L cage at this and have balls being thrown by a left handed pitcher on this end.
-0sphqZT1eQ_9-5-rgb_front	7.84	You can flip the machine over (flip the cage over) in order to throw the ball right handed.
-0yRaqY7nTE_0-5-rgb_front	0.5	Hi.
-0yRaqY7nTE_1-5-rgb_front	1.79	My name is Daniel Baldwin.
-0yRaqY7nTE_10-5-rgb_front	16.1	We also tow them, so if it's very inoperable and, or you just don't want to drive it in, you can have us come in and we'll tow the vehicle, then you can bring later in that title and we pay at that time.
-0yRaqY7nTE_2-5-rgb_front	4.55	I'm the general manager from Kurt's Auto Wrecking in American Fork, Utah.
-0yRaqY7nTE_3-5-rgb_front	4.8	And today we're giving you information on selling your junk car in Tampa.
-0yRaqY7nTE_4-5-rgb_front	9.84	Now the best thing you can do first of all is to clear your car out with all the stuff that you would like and take your license plates off.
-0yRaqY7nTE_5-5-rgb_front	4.92	Now next, there's many companies that you can sell your vehicle to.
-0yRaqY7nTE_6-5-rgb_front	12.43	In order to find those type of companies, you can get in the phone book and search, look under recycling centers or scrap yards or salvage yards.
-0yRaqY7nTE_7-5-rgb_front	27.78	Or, you can also go onto a web search like Google and type in any of those keywords again, and they will be able, and you'll pull up a bunch of scrap metal companies or recyclers, and they will be able to help you to find somewhere to sell those vehicles that are no longer operable or you just don't want anymore, and they're not worth a bunch of money.
-0yRaqY7nTE_8-5-rgb_front	15.93	Now, the best thing to do, again, is to have your title with you, and do not fill it out until you become on site so that we don't have any paperwork issues, and they're not any signatures in the wrong lines.
-0yRaqY7nTE_9-5-rgb_front	4.67	And you come in and we pay you cash at the time you drop it off.
-1KpdDGPCq4_0-5-rgb_front	3.5	All right, the drink we're about to make is called San Juan Cooler.
-1KpdDGPCq4_1-5-rgb_front	2.25	Let's go ahead and put some ice in a glass.
-1KpdDGPCq4_2-5-rgb_front	7.42	And measure out two ounces of rum.
-1KpdDGPCq4_3-5-rgb_front	4.0	And follow that up with three fourths of an ounce of dry vermouth.
-1KpdDGPCq4_4-5-rgb_front	3.42	And we'll just fill it up with pineapple juice.
-1KpdDGPCq4_5-5-rgb_front	41.83	And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.
-1KpdDGPCq4_6-5-rgb_front	10.55	Let's go ahead and garnish that with an orange and a cherry and that's it, bottoms up.
-1PeVdIwiq0_1-8-rgb_front	2.29	Today we're going to be talking about buying a new car.
-1PeVdIwiq0_10-8-rgb_front	11.0	So just because a brand new car has never been titled, doesn't necessarily mean that you can't end up with a brand new car that has been titled and save yourself a bunch of money.
-1PeVdIwiq0_11-8-rgb_front	11.29	So find out whether you are really a new car buyer or maybe you're a used car buyer with the same model year with a few miles on it so that you can save yourself some money.
-1PeVdIwiq0_12-8-rgb_front	11.12	You can save upwards of 5 to 10 and even sometimes 20 thousand dollars on buying a new used car versus buying a brand new car without an MOS.
-1PeVdIwiq0_13-8-rgb_front	4.04	So find out whether or not you're really a new car buyer.
-1PeVdIwiq0_14-8-rgb_front	4.42	When it comes to buying a new car, remember, its ok to say no.
-1PeVdIwiq0_15-8-rgb_front	5.0	Just 'cause they ask you to pay a certain amount of money for a car, doesn't mean that you have to.
-1PeVdIwiq0_16-8-rgb_front	5.04	Sometimes the best tactic to buying a new car is getting up and leaving.
-1PeVdIwiq0_17-8-rgb_front	13.33	If they say they can't sell you the car and they really can't, then they won't, but there's no reason why you can't come back tomorrow and try again, but if they come chasing you out the door and they say ok ok we want to sell you the car, then you can feel like you got a good deal.
-1PeVdIwiq0_18-8-rgb_front	6.88	When buying a new car, don't be afraid to ask your dealership to allow them to allow you to look at the invoice.
-1PeVdIwiq0_19-8-rgb_front	9.33	That's what they paid for the car and nine times out of ten, the dealership will be willing to share that information with you in order for you to make an educated decision.
-1PeVdIwiq0_2-8-rgb_front	2.92	In this segment we're talk about negotiating on a new car.
-1PeVdIwiq0_20-8-rgb_front	8.12	If you know how much they paid for a car, then you're willing to offer them a little bit more than what they paid for the car, usually they'll be willing to sell it to.
-1PeVdIwiq0_21-8-rgb_front	11.5	Also remember that when buying a new car, depending on how many days its been in their inventory, they may be motivated to sell that particular car than not.
-1PeVdIwiq0_22-8-rgb_front	8.71	So don't be afraid to ask if you can purchase the car that is many days in stock so that they'll be willing to give you a better car deal.
-1PeVdIwiq0_23-8-rgb_front	6.29	Remember, just because buying a car at invoice is what the dealership does, doesn't mean you have to.
-1PeVdIwiq0_24-8-rgb_front	6.75	You can always buy the car for below invoice, especially if that dealership's had that car in stock for more than 300 days.
-1PeVdIwiq0_25-8-rgb_front	2.04	Remember, don't be afraid to ask.
-1PeVdIwiq0_26-8-rgb_front	1.96	Negotiating is why you're there.
-1PeVdIwiq0_3-8-rgb_front	4.75	Its easy to buy a new car, 'cause they'll either tell you yes you can buy it for that, or no you can't.
-1PeVdIwiq0_4-8-rgb_front	4.0	The manufacturers is the one that determines what the car costs.
-1PeVdIwiq0_5-8-rgb_front	7.12	The dealership buys the car from the manufacturer and there are many websites out there that tell you what the actual cost of the car is.
-1PeVdIwiq0_6-8-rgb_front	7.46	Once you determine how much that car costs, its up to the dealership whether to sell you the car for that, for less than that, or for more than that.
-1PeVdIwiq0_7-8-rgb_front	10.38	Depending on the desirability of that new car, which means how hot it is in the market, that's exactly what's going to determine whether you get a great deal on your new car purchase or not necessarily a great deal.
-1PeVdIwiq0_8-8-rgb_front	7.38	Always remember that the difference between a new car and a used car is that a new car has an MSO, which is the Manufacture Certificate of Origin.
-1PeVdIwiq0_9-8-rgb_front	5.92	The minute that you purchase that new car though, it becomes titled and then it becomes a used car.
-1Uik-vwQoc_0-5-rgb_front	8.51	I'm Cooie Grey-Lavin and in this clip, I'll show you how to use unique headstones to customize your yard.
-1Uik-vwQoc_1-5-rgb_front	10.89	Another way to add interest to your yard, in our family we make little headstones for all our dogs that have died.
-1Uik-vwQoc_2-5-rgb_front	3.17	This particular one is our Golden Retriever.
-1Uik-vwQoc_3-5-rgb_front	4.42	Scooter, so that's his name in old typeset.
-1Uik-vwQoc_4-5-rgb_front	2.54	These are the colors that were in his collar.
-1Uik-vwQoc_5-5-rgb_front	12.47	He was a Golden Retriever, so we have that and he also loved to chase raccoons and he had chased one a short time before he died, so we put a raccoon in it.
-1Uik-vwQoc_6-5-rgb_front	10.51	That you can place around the yard, it's a simple mosaic stepping stone technique but we just added some different pieces to make it more interesting.
-1Uik-vwQoc_7-5-rgb_front	9.72	You can add memorial plaques or plaques for members of your family that are, don't live there and you miss them to sort of remembrances.
-1Uik-vwQoc_8-5-rgb_front	3.38	They add a nice personal touch to your yard.
-1Uik-vwQoc_9-5-rgb_front	6.92	Adding a mosaic headstone to your yard can make more personal and unique.
-1XUnputrgk_0-5-rgb_front	4.46	Okay, another thing that for me is important.
-1XUnputrgk_1-5-rgb_front	1.5	It may not be for you.
-1XUnputrgk_10-5-rgb_front	2.34	Feel free to get the.
-1XUnputrgk_11-5-rgb_front	3.17	You have little masks, they're just paper masks.
-1XUnputrgk_12-5-rgb_front	2.96	You can get them at Home Depot or Lowes.
-1XUnputrgk_13-5-rgb_front	2.5	And they're actually called painters masks.
-1XUnputrgk_14-5-rgb_front	5.88	Some of them are just made of paper.
-1XUnputrgk_15-5-rgb_front	2.34	But they're very affordable.
-1XUnputrgk_16-5-rgb_front	4.63	You can get a pack of, you know, several for just a couple of dollars.
-1XUnputrgk_17-5-rgb_front	2.13	So make sure you.
-1XUnputrgk_18-5-rgb_front	3.34	If you have those, keep them in here on hand.
-1XUnputrgk_19-5-rgb_front	2.29	You know, it protects your health when you're cleaning.
-1XUnputrgk_2-5-rgb_front	5.42	But for me I use very strong chemicals.
-1XUnputrgk_20-5-rgb_front	5.26	You don't have to worry about any hazardous chemical getting into your system.
-1XUnputrgk_21-5-rgb_front	3.67	And it just makes the whole process a lot safer for you.
-1XUnputrgk_22-5-rgb_front	4.5	And for your children if you have children that help out cleaning around the house.
-1XUnputrgk_23-5-rgb_front	3.38	So I would recommend having a mask on hand.
-1XUnputrgk_3-5-rgb_front	5.59	Some people may prefer to use products that don't have chemicals.
-1XUnputrgk_4-5-rgb_front	4.71	But because I do, I enjoy having the disinfectants.
-1XUnputrgk_5-5-rgb_front	4.84	I like to wear a mask while I'm cleaning.
-1XUnputrgk_6-5-rgb_front	3.21	Because you don't need to be breathing those chemicals in.
-1XUnputrgk_7-5-rgb_front	2.75	Especially you know when, I'm pregnant.
-1XUnputrgk_8-5-rgb_front	2.88	A lot of women, a lot of you out there.
