video_name,caption,compound_score,emotion
--8pSDeC-fg_2-5-rgb_front,"And I'm a psychologist in Manhattan, New York City, where I have my own private practice.",0.0,Neutral
--8pSDeC-fg_3-5-rgb_front,In this clip I'm going to talk about how to tell if you have low self esteem.,-0.2732,Somewhat Negative
--8pSDeC-fg_4-5-rgb_front,Low self esteem or a low feeling about oneself is unfortunately very common.,-0.6249,Negative
--8pSDeC-fg_5-5-rgb_front,But fortunately it's very fixable.,0.0,Neutral
--8pSDeC-fg_6-5-rgb_front,"When one has low self esteem, the way you can tell is look in the mirror.",-0.2732,Somewhat Negative
--8pSDeC-fg_7-5-rgb_front,How do you feel about yourself?,0.0,Neutral
--8pSDeC-fg_8-5-rgb_front,What do you see?,0.0,Neutral
--8pSDeC-fg_9-5-rgb_front,Do you see the positive parts of your personality or do you notice the negative?,-0.0258,Neutral
-00cp1iGiDw_1-5-rgb_front,"In the side position, we're going to be palming and thumbing the sen lines on the legs.",0.0,Neutral
-00cp1iGiDw_10_11-5-rgb_front,"Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.",0.9118,Extremely Positive
-00cp1iGiDw_12-5-rgb_front,I lift it up enough to make sure that I'm comfortable.,0.6808,Positive
-00cp1iGiDw_13-5-rgb_front,Come back and forth.,0.0,Neutral
-00cp1iGiDw_14-5-rgb_front,Always make sure you get a little thumbing in there too.,0.3182,Somewhat Positive
-00cp1iGiDw_15-5-rgb_front,So we're going to start again on this one.,0.0,Neutral
-00cp1iGiDw_2-5-rgb_front,"Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.",0.5267,Positive
-00cp1iGiDw_3-5-rgb_front,"And just thumb up and pressing in the thumb in the area where, my fingerprint would be not on the tips of that stabbing her with my fingernails.",0.0,Neutral
-00cp1iGiDw_4-5-rgb_front,Be very mindful of that.,0.0,Neutral
-00cp1iGiDw_5-5-rgb_front,"Coming in here and again, nice rocking back and forth, back and forth.",0.4215,Positive
-00cp1iGiDw_6-5-rgb_front,"Not applying too much thumb pressure, to not only save your own thumbs but to not kind of over press on your client.",-0.343,Somewhat Negative
-00cp1iGiDw_7-5-rgb_front,Back and forth.,0.0,Neutral
-00cp1iGiDw_8-5-rgb_front,So starting with palming on sen lines with this leg.,0.0,Neutral
-00cp1iGiDw_9-5-rgb_front,Back and forth.,0.0,Neutral
-06_nJnhORg_0-5-rgb_front,"Always giving a little bit of Meta, a little loving kindness as you finish.",0.8284,Extremely Positive
-06_nJnhORg_1-5-rgb_front,On the front leg you're going to be doing the outside.,0.0,Neutral
-06_nJnhORg_10-5-rgb_front,"And on the inside leg closest to you, you're going to be doing the inside.",0.0,Neutral
-06_nJnhORg_11-5-rgb_front,So we're going to start with the inside leg first.,0.0,Neutral
-06_nJnhORg_12-5-rgb_front,"Placing the palm, placing the palm and then start in a nice rocking fashion.",0.4215,Positive
-06_nJnhORg_13-5-rgb_front,"Walking it up, rocking it down.",0.0,Neutral
-06_nJnhORg_14-5-rgb_front,"And you can do this as long or as short as the massage requires, time wise or your client's needs.",0.4767,Positive
-06_nJnhORg_15-5-rgb_front,"Coming to the other one, and again, just in a nice rocking position.",0.4215,Positive
-06_nJnhORg_16-5-rgb_front,If you like to find more about my services you can visit my website canineheadstart.com.,0.3612,Somewhat Positive
-06_nJnhORg_17-5-rgb_front,So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.,0.0,Neutral
-06_nJnhORg_18-5-rgb_front,It works right away and it will actually kill all of the fleas that are on the dog for the next 24 hours and it start working in about 30 minutes.,-0.6908,Negative
-06_nJnhORg_19-5-rgb_front,So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.,0.7906,Extremely Positive
-06_nJnhORg_2-5-rgb_front,Again this is a oral preventive and this is also a oral preventive.,0.0,Neutral
-06_nJnhORg_20-5-rgb_front,We are going to be talking about external flea prevention in the next video.,0.0,Neutral
-06_nJnhORg_21-5-rgb_front,So we are going to be talking about flea prevention in this short video clip.,0.0,Neutral
-06_nJnhORg_3-5-rgb_front,There are a number of products out there that you can use on your dog obviously one way to prevent fleas is not have you dog go out side but that is not really realistic.,0.0516,Neutral
-06_nJnhORg_4_5-5-rgb_front,So we are going to be talking about products that you can use to prevent fleas.,0.0258,Neutral
-06_nJnhORg_6_7-5-rgb_front,In the last of couple of years there has been a increase of different types of options out there that you can use.,0.3182,Somewhat Positive
-06_nJnhORg_8-5-rgb_front,I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.,0.5256,Positive
-06_nJnhORg_9-5-rgb_front,So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.,0.8625,Extremely Positive
-08ZGCviCm4_0-5-rgb_front,The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.,0.4215,Positive
-08ZGCviCm4_1-5-rgb_front,cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.,0.4499,Positive
-08ZGCviCm4_2-5-rgb_front,"Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.",-0.0772,Neutral
-08ZGCviCm4_3-5-rgb_front,But things just don't go right from the very beginning.,0.0,Neutral
-08ZGCviCm4_4-5-rgb_front,"I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend.",0.1531,Somewhat Positive
-08ZGCviCm4_5-5-rgb_front,So Thursdays are really jam-packed.,0.0,Neutral
-08ZGCviCm4_6-5-rgb_front,"I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.",0.0,Neutral
-08ZGCviCm4_7-5-rgb_front,"And, I had one of those days where I just woke up and things just didn't want to go my way.",-0.0572,Neutral
-08ZGCviCm4_8-5-rgb_front,"So I...I continued to fight through it, fight through it...didn't feel real great.",-0.8173,Extremely Negative
-08ZGCviCm4_9-5-rgb_front,"So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late.",0.2382,Somewhat Positive
-0BynF9TSNI_1-5-rgb_front,"So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked.",0.0,Neutral
-0BynF9TSNI_10-5-rgb_front,"And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras.",0.0258,Neutral
-0BynF9TSNI_11-5-rgb_front,"I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car.",-0.296,Somewhat Negative
-0BynF9TSNI_12-5-rgb_front,"And, so, that was kind of tough.",-0.2006,Somewhat Negative
-0BynF9TSNI_13-5-rgb_front,"You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working.",-0.5423,Negative
-0BynF9TSNI_2-5-rgb_front,"So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job.",-0.3818,Somewhat Negative
-0BynF9TSNI_4-5-rgb_front,"So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better.",0.6808,Positive
-0BynF9TSNI_5-5-rgb_front,"Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home.",0.0,Neutral
-0BynF9TSNI_6-5-rgb_front,"And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.",0.0,Neutral
-0BynF9TSNI_7-5-rgb_front,"And...and that makes it tough for me, I don't...I don't like to do that at all. So that's probably the hardest part, is, if I don't start my day right.",0.0827,Neutral
-0BynF9TSNI_8-5-rgb_front,"So, I kind of have to mentally prepare myself for my day, so, that's probably the hardest day for me, is not preparing myself.",0.0,Neutral
-0BynF9TSNI_9-5-rgb_front,One of my toughest days are Thursdays.,-0.0772,Neutral
-0FA6OhxZSE_0-5-rgb_front,"Hello welcome my name is Julio Nutt and I am a master instructor of the Jim McLean Golf School in Miami, Florida.",0.4588,Positive
-0FA6OhxZSE_10-5-rgb_front,In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.,0.7943,Extremely Positive
-0FA6OhxZSE_11-5-rgb_front,In golf you have got to learn to shift your weight forward in order to hit the ball and transfer your weight into your left side.,0.0,Neutral
-0FA6OhxZSE_2-5-rgb_front,"But many amateurs when hitting the ball they hang to the right side, they get their arms really close and tight to their bodies and they have a lot of difficulty transferring their weight into their left side.",-0.4767,Negative
-0FA6OhxZSE_3-5-rgb_front,"Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.",0.765,Extremely Positive
-0FA6OhxZSE_4-5-rgb_front,"So right now I'm not going to think about hitting the golf ball, I'm going to think about throwing the shaft.",0.0,Neutral
-0FA6OhxZSE_5-5-rgb_front,So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.,0.3744,Somewhat Positive
-0FA6OhxZSE_6-5-rgb_front,That is a great tip that I give to a lot of my students.,0.6249,Positive
-0FA6OhxZSE_7-5-rgb_front,When hitting the ball think about throwing the club and that is going to generate extension and weight transfer.,0.0,Neutral
-0FA6OhxZSE_8-5-rgb_front,This is Julio Nutt at the Jim McLean Golf School.,0.0,Neutral
-0FA6OhxZSE_9-5-rgb_front,Today I'm going to take you back into time and I'm going to show you one of my grandmother's favorite things to make the kids and that was sweet bruschetta.,0.7184,Positive
-0JdYlTf9Y8_0_1-5-rgb_front,"This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.",0.9117,Extremely Positive
-0JdYlTf9Y8_10-5-rgb_front,The kids will love you for it.,0.6369,Positive
-0JdYlTf9Y8_11-5-rgb_front,"I'll show you the ingredients, utensils it's literally 15 minutes and it's done.",0.0,Neutral
-0JdYlTf9Y8_2-5-rgb_front,I hope you make it.,0.4404,Positive
-0JdYlTf9Y8_3-5-rgb_front,Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.,0.4588,Positive
-0JdYlTf9Y8_4-5-rgb_front,But today we're going to show you one for the kids and especially the big kids like me.,0.5023,Positive
-0JdYlTf9Y8_5-5-rgb_front,I mean this is nice.,0.4215,Positive
-0JdYlTf9Y8_6-5-rgb_front,You're going to use a whole bunch of things like bananas is the main thing.,0.3612,Somewhat Positive
-0JdYlTf9Y8_7-5-rgb_front,"When you put in beneath that flame, it glazes and just comes out spectacular.",0.0,Neutral
-0JdYlTf9Y8_8-5-rgb_front,I'm going to show you all the ingredients of this recipe.,0.0,Neutral
-0JdYlTf9Y8_9-5-rgb_front,"This is at least 60, 70s years old I think.",0.0,Neutral
-0N0jbyBW6g_0-5-rgb_front,DAVID CLEMEN: Hi.,0.0,Neutral
-0N0jbyBW6g_1-5-rgb_front,"I'm left-handed but I played sports with right, so I do squeegee with the right hand.",0.8126,Extremely Positive
-0N0jbyBW6g_10-5-rgb_front,"And so, that's squeegeeing the second color.",0.0,Neutral
-0N0jbyBW6g_11-5-rgb_front,"Alright, now that I've plopped my white paint, I'm going to pick up my favorite tool again.",0.6124,Positive
-0N0jbyBW6g_2-5-rgb_front,And I'm just going to come in here and just kinda fill it out.,0.0,Neutral
-0N0jbyBW6g_3-5-rgb_front,"And now, when you mix the red and white in big areas, if it's too much red and you don't move it fast enough, you'll start to get pink so I want to try and keep the integrity of the white and I'm just going to move that fast, and see how--I don't know if you can see it, but since the paint has kind of dried quickly on this paint on the wood, it's already created a texture underneath of it.",0.5558,Positive
-0N0jbyBW6g_4-5-rgb_front,"So, now, I'm getting this texture of the paint underneath of it.",0.0,Neutral
-0N0jbyBW6g_5-5-rgb_front,"So, I'm just going to come in here and do these big squeegee marks and not going to go too crazy with it.",-0.34,Somewhat Negative
-0N0jbyBW6g_6-5-rgb_front,And I'm not trying to cover up all the red.,0.0,Neutral
-0N0jbyBW6g_7-5-rgb_front,I'm just trying to get certain areas and show the white on the top of the red.,0.4404,Positive
-0N0jbyBW6g_8-5-rgb_front,"And then, I can come in and I can actually just do almost like, I guess you would say it's like almost a karate chop or samurai swing to the right or left.",0.5729,Positive
-0N0jbyBW6g_9-5-rgb_front,In this clip we're going to talk about how to buy a trophy. Most people will come into my show room and they'll ask me how much is a twenty inch trophy.,0.0,Neutral
-0ZqnVFv7eI_0-5-rgb_front,"So when it comes to buying a trophy, it's not how tall it is for the dollar.",0.0,Neutral
-0ZqnVFv7eI_1-5-rgb_front,"It's really, what you get for your dollar.",0.0,Neutral
-0ZqnVFv7eI_2-5-rgb_front,"And I say to them we don't sell trophies by the inch, and I give them this fine example here.",0.25,Somewhat Positive
-0ZqnVFv7eI_3-5-rgb_front,This is a forty-eight inch trophy.,0.0,Neutral
-0ZqnVFv7eI_4-5-rgb_front,If you go to any trophy store and they can offer you this forty-eight inch trophy for as little as $20.,0.0,Neutral
-0ZqnVFv7eI_5-5-rgb_front,"As you can see, if you were to buy a trophy by the inch, someone could sell you this and you wouldn't be very happy with it.",-0.4964,Negative
-0ZqnVFv7eI_6-5-rgb_front,So my recommendation is not to try and buy a trophy based on how tall it is but take into consideration the materials that it's made of.,0.0,Neutral
-0daC3SWCPQ_0-5-rgb_front,We use marble bases that are imported directly from Italy.,0.0,Neutral
-0daC3SWCPQ_1-5-rgb_front,We also put little felt dots on the bottom of the trophies and that keeps them from scratching your furniture when you get home.,0.0,Neutral
-0daC3SWCPQ_10-5-rgb_front,A lot of times people will try and save money in building a trophy by leaving out these little things.,0.4939,Positive
-0daC3SWCPQ_11-5-rgb_front,Hello.,0.0,Neutral
-0daC3SWCPQ_12-5-rgb_front,We're going to be speaking about cross stitch craft kits today.,0.0,Neutral
-0daC3SWCPQ_13-5-rgb_front,My name is Daniel King.,0.0,Neutral
-0daC3SWCPQ_2-5-rgb_front,Thank you.,0.3612,Somewhat Positive
-0daC3SWCPQ_3-5-rgb_front,"My name is Daniel King, and I'm an experienced pattern maker, designer and sewer.",0.0,Neutral
-0daC3SWCPQ_4-5-rgb_front,Cross stitch craft kits are kits that you can order through many craft stores or art supply stores.,0.0,Neutral
-0daC3SWCPQ_5-5-rgb_front,These kits allow you to do different designs.,0.2263,Somewhat Positive
-0daC3SWCPQ_6-5-rgb_front,"What the kit incorporates is a fabric background, usually the different colored threads, and a hoop for hooping and taut, to make the fabric taut.",0.0,Neutral
-0daC3SWCPQ_7-5-rgb_front,"With these designs you can make, typically, any type of plaque, maybe stockings for Christmas, or even portraits.",0.0,Neutral
-0daC3SWCPQ_8-5-rgb_front,It allows you to take these different threads and stitch one through the fabric and to follow along the design to create whatever design it is.,0.2732,Somewhat Positive
-0daC3SWCPQ_9-5-rgb_front,"These kits are available in most craft stores, and it gives you some flexibility as to what kind of designs you like.",0.5994,Positive
-0oP2H0vAGY_1-5-rgb_front,"Again, we're talking about cross stitch....cross stitch craft kits.",0.0,Neutral
-0oP2H0vAGY_10-5-rgb_front,"This is Robert Stewart, with Hill13.com.",0.0,Neutral
-0oP2H0vAGY_11-5-rgb_front,"Now, we're going to talk about some advanced tactics, and the importance of employing all that you've learned in terms of individual drilling, and all of the basic tactical awarenesses and skills you need to have, to function as a highly effective player.",0.7841,Extremely Positive
-0oP2H0vAGY_12-5-rgb_front,"When you get into advance tactics, you're talking about a lot of teamwork.",0.0,Neutral
-0oP2H0vAGY_13-5-rgb_front,"You're talking about everyone on your team, having those individual skills down, and being able to use them in concert with one another, so we're going to be going over the taking of buildings, the defending of buildings, and the critical elements required tactically, to integrate a team together, and have them function as a single system, with a goal, where everyone on the team is working together.",-0.3182,Somewhat Negative
-0oP2H0vAGY_14-5-rgb_front,"A lot of what's required, is stressing the importance of communication.",0.0,Neutral
-0oP2H0vAGY_15-5-rgb_front,It's stressing the importance of maintaining your situational awareness.,0.0,Neutral
-0oP2H0vAGY_16-5-rgb_front,"Knowing what's happening with your other team members at all times, and inside of the shifting dynamics, having the tactical skills necessary, to support, defend, and be aggressive, at the same time.",0.4939,Positive
-0oP2H0vAGY_17-5-rgb_front,Hello!,0.0,Neutral
-0oP2H0vAGY_18-5-rgb_front,We are Terry and Laura Neven.,0.0,Neutral
-0oP2H0vAGY_2-5-rgb_front,"When you teach your children at home, it allows you a greater opportunity to have time as a family.",0.6486,Positive
-0oP2H0vAGY_3-5-rgb_front,One important reason for the benefit of home schooling is academic success.,0.8176,Extremely Positive
-0oP2H0vAGY_4-5-rgb_front,Researh says that the average home school child is 1 to 2 grades levels above their public or private school peers.,0.0,Neutral
-0oP2H0vAGY_5-5-rgb_front,These are just some of the wonderful benefits why families home school.,0.743,Positive
-0oP2H0vAGY_6-5-rgb_front,I am the administrator of California educators and principal of Sunland Christian School.,0.0,Neutral
-0oP2H0vAGY_7-5-rgb_front,This clip we will talk about the benefits to home schooling.,0.3818,Somewhat Positive
-0oP2H0vAGY_8-5-rgb_front,Many families begin to home school not because of concerns of academics or because of concerns of the local public or private school because they are concerned about things relative to the family.,0.0,Neutral
-0oP2H0vAGY_9-5-rgb_front,Home schooling can provide a great opportunity for family unity.,0.7845,Extremely Positive
-0sphqZT1eQ_1-5-rgb_front,"To do things together, to learn together and to grow together.",0.0,Neutral
-0sphqZT1eQ_2-5-rgb_front,In specifically Southern California there is a lot of issues relative to a flexibility of schedule.,0.34,Somewhat Positive
-0sphqZT1eQ_3-5-rgb_front,It is important to understand that home schooling allows for great flexibility.,0.8074,Extremely Positive
-0sphqZT1eQ_4-5-rgb_front,"Moms are already running around like chickens with their heads cut off, taxing kids here and there.",0.1027,Somewhat Positive
-0sphqZT1eQ_5-5-rgb_front,"This is a great ""who dun it"" guessing game and you should use a minimum of 6-8 people.",0.6249,Positive
-0sphqZT1eQ_6-5-rgb_front,When the murderer chooses they will choose a victim and kill them.,-0.9081,Extremely Negative
-0sphqZT1eQ_7-5-rgb_front,How they will do that is by shaking their hand and doing a little tickle inside.,0.3612,Somewhat Positive
-0sphqZT1eQ_8-5-rgb_front,So just scratching the inside of the hand but doing it very discreetly so that no one else sees when the victim has been killed.,-0.9004,Extremely Negative
-0sphqZT1eQ_9-5-rgb_front,"They have to shake three more hands just so that it's not obvious who killed them and then they get to choose a way they want to die nice, and big, and dramatic.",0.2709,Somewhat Positive
-0yRaqY7nTE_0-5-rgb_front,"So if I was to kill David ""hi, how are you"", he's going to shake three more hands and on the third hand die.",-0.7964,Extremely Negative
-0yRaqY7nTE_1-5-rgb_front,"""Aahh"", good, then we have our victim dead lying on the floor and the rest of us have to try to figure out who killed him.",-0.9081,Extremely Negative
-0yRaqY7nTE_10-5-rgb_front,"Now again only the person running the game and the person that's dead knows, but the person that's dead can't say anything.",-0.8625,Extremely Negative
-0yRaqY7nTE_2-5-rgb_front,"So you vote and the majority wins so whoever you want to, its kind of a witch hunt at this point, you just pick and choose who you think might look suspicious and if that person actually is indeed the murderer lets say you say ""ah"", everyone agrees it was Joe, the person running the game knows if its Joe or not if it was Joe they say ""yes, you guys have won"", if its not they just say ""nope, that is not the murderer"", and you just, Joe has to die though and then the games goes again and again until either the murderer is killed every body off without being killed themselves or until they've been found out by the crowd.",-0.597,Negative
-0yRaqY7nTE_3-5-rgb_front,And that's how you play murderer.,-0.4939,Negative
-0yRaqY7nTE_4-5-rgb_front,The more the merrier.,0.4549,Positive
-0yRaqY7nTE_5-5-rgb_front,"What you do one, is choose one person who is just going to run the game.",0.0,Neutral
-0yRaqY7nTE_6-5-rgb_front,"They don't actually get to participate, so if you are playing this with kids maybe if you have an adult in the room they could choose to be the one running the game or just maybe an adult that doesn't feel like playing if its a group of adults they can run the game.",-0.2268,Somewhat Negative
-0yRaqY7nTE_7-5-rgb_front,"Basically, they are going to have all the adults close their eyes or kids close or cover your eyes and the person running the game will choose one person to be the murderer.",-0.6808,Negative
-0yRaqY7nTE_8-5-rgb_front,They just choose them by tapping them gently on the head.,0.4588,Positive
-0yRaqY7nTE_9-5-rgb_front,That person is the murderer only they know it and the person running the game knows it.,-0.6808,Negative
-1KpdDGPCq4_0-5-rgb_front,Everybody's eyes open and the game begins.,0.0,Neutral
-1KpdDGPCq4_1-5-rgb_front,"You just start walking around the room shaking everybody's hands with a nice greeting ""hi, how are you"", ""hi, how are you"".",0.5719,Positive
-1KpdDGPCq4_2-5-rgb_front,Today I'm going to teach you how to become a competitive baseball player.,0.1779,Somewhat Positive
-1KpdDGPCq4_3-5-rgb_front,In this segment we're going to demonstrate batting practice with live pitching.,0.0,Neutral
-1KpdDGPCq4_4-5-rgb_front,"Now as oppose of the machine, the machine pitches automatic fastballs and an automatic curve balls going from one angle to one angle only.",0.0,Neutral
-1KpdDGPCq4_5-5-rgb_front,Life pitching determines more of a simulated angle of the game as the pitchers as hitters are seeing pitchers from various arm angles to where they can adjust to improve there hitting.,0.4404,Positive
-1KpdDGPCq4_6-5-rgb_front,This makes to be a more effective hitting practice regiment than the machine.,0.5256,Positive
-1PeVdIwiq0_1-8-rgb_front,The machine is mainly for timing for fastballs.,0.0,Neutral
-1PeVdIwiq0_10-8-rgb_front,"But as opposed to the live pitching you get various angles, live angles from an actual pitcher when hitting the ball.",0.0,Neutral
-1PeVdIwiq0_11-8-rgb_front,"Normally for a lefty, you would set this type of a L cage at this and have balls being thrown by a left handed pitcher on this end.",0.5766,Positive
-1PeVdIwiq0_12-8-rgb_front,You can flip the machine over (flip the cage over) in order to throw the ball right handed.,0.0,Neutral
-1PeVdIwiq0_13-8-rgb_front,Hi.,0.0,Neutral
-1PeVdIwiq0_14-8-rgb_front,My name is Daniel Baldwin.,0.0,Neutral
-1PeVdIwiq0_15-8-rgb_front,"We also tow them, so if it's very inoperable and, or you just don't want to drive it in, you can have us come in and we'll tow the vehicle, then you can bring later in that title and we pay at that time.",-0.1586,Somewhat Negative
-1PeVdIwiq0_16-8-rgb_front,"I'm the general manager from Kurt's Auto Wrecking in American Fork, Utah.",0.0,Neutral
-1PeVdIwiq0_17-8-rgb_front,And today we're giving you information on selling your junk car in Tampa.,0.34,Somewhat Positive
-1PeVdIwiq0_18-8-rgb_front,Now the best thing you can do first of all is to clear your car out with all the stuff that you would like and take your license plates off.,0.8519,Extremely Positive
-1PeVdIwiq0_19-8-rgb_front,"Now next, there's many companies that you can sell your vehicle to.",0.0,Neutral
-1PeVdIwiq0_2-8-rgb_front,"In order to find those type of companies, you can get in the phone book and search, look under recycling centers or scrap yards or salvage yards.",0.0,Neutral
-1PeVdIwiq0_20-8-rgb_front,"Or, you can also go onto a web search like Google and type in any of those keywords again, and they will be able, and you'll pull up a bunch of scrap metal companies or recyclers, and they will be able to help you to find somewhere to sell those vehicles that are no longer operable or you just don't want anymore, and they're not worth a bunch of money.",0.276,Somewhat Positive
-1PeVdIwiq0_21-8-rgb_front,"Now, the best thing to do, again, is to have your title with you, and do not fill it out until you become on site so that we don't have any paperwork issues, and they're not any signatures in the wrong lines.",0.2732,Somewhat Positive
-1PeVdIwiq0_22-8-rgb_front,And you come in and we pay you cash at the time you drop it off.,-0.3612,Somewhat Negative
-1PeVdIwiq0_23-8-rgb_front,"All right, the drink we're about to make is called San Juan Cooler.",0.0,Neutral
-1PeVdIwiq0_24-8-rgb_front,Let's go ahead and put some ice in a glass.,0.0,Neutral
-1PeVdIwiq0_25-8-rgb_front,And measure out two ounces of rum.,0.0,Neutral
-1PeVdIwiq0_26-8-rgb_front,And follow that up with three fourths of an ounce of dry vermouth.,0.0,Neutral
-1PeVdIwiq0_3-8-rgb_front,And we'll just fill it up with pineapple juice.,0.0,Neutral
-1PeVdIwiq0_4-8-rgb_front,"And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.",0.8271,Extremely Positive
-1PeVdIwiq0_5-8-rgb_front,"Let's go ahead and garnish that with an orange and a cherry and that's it, bottoms up.",0.0,Neutral
-1PeVdIwiq0_6-8-rgb_front,Today we're going to be talking about buying a new car.,0.0,Neutral
-1PeVdIwiq0_7-8-rgb_front,"So just because a brand new car has never been titled, doesn't necessarily mean that you can't end up with a brand new car that has been titled and save yourself a bunch of money.",0.4939,Positive
-1PeVdIwiq0_8-8-rgb_front,So find out whether you are really a new car buyer or maybe you're a used car buyer with the same model year with a few miles on it so that you can save yourself some money.,0.4939,Positive
-1PeVdIwiq0_9-8-rgb_front,You can save upwards of 5 to 10 and even sometimes 20 thousand dollars on buying a new used car versus buying a brand new car without an MOS.,0.4939,Positive
-1Uik-vwQoc_0-5-rgb_front,So find out whether or not you're really a new car buyer.,0.0,Neutral
-1Uik-vwQoc_1-5-rgb_front,"When it comes to buying a new car, remember, its ok to say no.",0.296,Somewhat Positive
-1Uik-vwQoc_2-5-rgb_front,"Just 'cause they ask you to pay a certain amount of money for a car, doesn't mean that you have to.",0.1779,Somewhat Positive
-1Uik-vwQoc_3-5-rgb_front,Sometimes the best tactic to buying a new car is getting up and leaving.,0.6369,Positive
