video_name,caption,emotion
-06_nJnhORg_16-5-rgb_front,If you like to find more about my services you can visit my website canineheadstart.com.,Positive
-06_nJnhORg_18-5-rgb_front,It works right away and it will actually kill all of the fleas that are on the dog for the next 24 hours and it start working in about 30 minutes.,Negative
-06_nJnhORg_19-5-rgb_front,So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.,Positive
-06_nJnhORg_6_7-5-rgb_front,In the last of couple of years there has been a increase of different types of options out there that you can use.,Positive
-06_nJnhORg_8-5-rgb_front,I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.,Positive
-06_nJnhORg_9-5-rgb_front,So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.,Positive
-08ZGCviCm4_0-5-rgb_front,The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.,Positive
-08ZGCviCm4_1-5-rgb_front,cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.,Positive
-08ZGCviCm4_8-5-rgb_front,"So I...I continued to fight through it, fight through it...didn't feel real great.",Negative
-0BynF9TSNI_11-5-rgb_front,"I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car.",Negative
-0BynF9TSNI_13-5-rgb_front,"You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working.",Negative
-0BynF9TSNI_2-5-rgb_front,"So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job.",Negative
-0BynF9TSNI_4-5-rgb_front,"So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better.",Positive
-0FA6OhxZSE_0-5-rgb_front,"Hello welcome my name is Julio Nutt and I am a master instructor of the Jim McLean Golf School in Miami, Florida.",Positive
-0FA6OhxZSE_10-5-rgb_front,In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.,Positive
-0FA6OhxZSE_2-5-rgb_front,"But many amateurs when hitting the ball they hang to the right side, they get their arms really close and tight to their bodies and they have a lot of difficulty transferring their weight into their left side.",Negative
-0FA6OhxZSE_3-5-rgb_front,"Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.",Positive
-0FA6OhxZSE_5-5-rgb_front,So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.,Positive
-0FA6OhxZSE_6-5-rgb_front,That is a great tip that I give to a lot of my students.,Positive
-0FA6OhxZSE_9-5-rgb_front,Today I'm going to take you back into time and I'm going to show you one of my grandmother's favorite things to make the kids and that was sweet bruschetta.,Positive
-0JdYlTf9Y8_0_1-5-rgb_front,"This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.",Positive
-0JdYlTf9Y8_10-5-rgb_front,The kids will love you for it.,Positive
-0JdYlTf9Y8_2-5-rgb_front,I hope you make it.,Positive
-0JdYlTf9Y8_3-5-rgb_front,Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.,Positive
-0JdYlTf9Y8_4-5-rgb_front,But today we're going to show you one for the kids and especially the big kids like me.,Positive
-0JdYlTf9Y8_5-5-rgb_front,I mean this is nice.,Positive
-0JdYlTf9Y8_6-5-rgb_front,You're going to use a whole bunch of things like bananas is the main thing.,Positive
-0N0jbyBW6g_1-5-rgb_front,"I'm left-handed but I played sports with right, so I do squeegee with the right hand.",Positive
-0N0jbyBW6g_11-5-rgb_front,"Alright, now that I've plopped my white paint, I'm going to pick up my favorite tool again.",Positive
-0N0jbyBW6g_3-5-rgb_front,"And now, when you mix the red and white in big areas, if it's too much red and you don't move it fast enough, you'll start to get pink so I want to try and keep the integrity of the white and I'm just going to move that fast, and see how--I don't know if you can see it, but since the paint has kind of dried quickly on this paint on the wood, it's already created a texture underneath of it.",Positive
-0N0jbyBW6g_5-5-rgb_front,"So, I'm just going to come in here and do these big squeegee marks and not going to go too crazy with it.",Negative
-0N0jbyBW6g_7-5-rgb_front,I'm just trying to get certain areas and show the white on the top of the red.,Positive
-0N0jbyBW6g_8-5-rgb_front,"And then, I can come in and I can actually just do almost like, I guess you would say it's like almost a karate chop or samurai swing to the right or left.",Positive
-0ZqnVFv7eI_2-5-rgb_front,"And I say to them we don't sell trophies by the inch, and I give them this fine example here.",Positive
-0ZqnVFv7eI_5-5-rgb_front,"As you can see, if you were to buy a trophy by the inch, someone could sell you this and you wouldn't be very happy with it.",Negative
-0daC3SWCPQ_10-5-rgb_front,A lot of times people will try and save money in building a trophy by leaving out these little things.,Positive
-0daC3SWCPQ_2-5-rgb_front,Thank you.,Positive
-0daC3SWCPQ_8-5-rgb_front,It allows you to take these different threads and stitch one through the fabric and to follow along the design to create whatever design it is.,Positive
-0daC3SWCPQ_9-5-rgb_front,"These kits are available in most craft stores, and it gives you some flexibility as to what kind of designs you like.",Positive
-0oP2H0vAGY_11-5-rgb_front,"Now, we're going to talk about some advanced tactics, and the importance of employing all that you've learned in terms of individual drilling, and all of the basic tactical awarenesses and skills you need to have, to function as a highly effective player.",Positive
-0oP2H0vAGY_13-5-rgb_front,"You're talking about everyone on your team, having those individual skills down, and being able to use them in concert with one another, so we're going to be going over the taking of buildings, the defending of buildings, and the critical elements required tactically, to integrate a team together, and have them function as a single system, with a goal, where everyone on the team is working together.",Negative
-0oP2H0vAGY_16-5-rgb_front,"Knowing what's happening with your other team members at all times, and inside of the shifting dynamics, having the tactical skills necessary, to support, defend, and be aggressive, at the same time.",Positive
-0oP2H0vAGY_2-5-rgb_front,"When you teach your children at home, it allows you a greater opportunity to have time as a family.",Positive
-0oP2H0vAGY_3-5-rgb_front,One important reason for the benefit of home schooling is academic success.,Positive
-0oP2H0vAGY_5-5-rgb_front,These are just some of the wonderful benefits why families home school.,Positive
-0oP2H0vAGY_7-5-rgb_front,This clip we will talk about the benefits to home schooling.,Positive
-0oP2H0vAGY_9-5-rgb_front,Home schooling can provide a great opportunity for family unity.,Positive
-0sphqZT1eQ_2-5-rgb_front,In specifically Southern California there is a lot of issues relative to a flexibility of schedule.,Positive
-0sphqZT1eQ_3-5-rgb_front,It is important to understand that home schooling allows for great flexibility.,Positive
-0sphqZT1eQ_5-5-rgb_front,"This is a great ""who dun it"" guessing game and you should use a minimum of 6-8 people.",Positive
-0sphqZT1eQ_6-5-rgb_front,When the murderer chooses they will choose a victim and kill them.,Negative
-0sphqZT1eQ_7-5-rgb_front,How they will do that is by shaking their hand and doing a little tickle inside.,Positive
-0sphqZT1eQ_8-5-rgb_front,So just scratching the inside of the hand but doing it very discreetly so that no one else sees when the victim has been killed.,Negative
-0sphqZT1eQ_9-5-rgb_front,"They have to shake three more hands just so that it's not obvious who killed them and then they get to choose a way they want to die nice, and big, and dramatic.",Positive
-0yRaqY7nTE_0-5-rgb_front,"So if I was to kill David ""hi, how are you"", he's going to shake three more hands and on the third hand die.",Negative
-0yRaqY7nTE_1-5-rgb_front,"""Aahh"", good, then we have our victim dead lying on the floor and the rest of us have to try to figure out who killed him.",Negative
-0yRaqY7nTE_10-5-rgb_front,"Now again only the person running the game and the person that's dead knows, but the person that's dead can't say anything.",Negative
-0yRaqY7nTE_2-5-rgb_front,"So you vote and the majority wins so whoever you want to, its kind of a witch hunt at this point, you just pick and choose who you think might look suspicious and if that person actually is indeed the murderer lets say you say ""ah"", everyone agrees it was Joe, the person running the game knows if its Joe or not if it was Joe they say ""yes, you guys have won"", if its not they just say ""nope, that is not the murderer"", and you just, Joe has to die though and then the games goes again and again until either the murderer is killed every body off without being killed themselves or until they've been found out by the crowd.",Negative
-0yRaqY7nTE_3-5-rgb_front,And that's how you play murderer.,Negative
-0yRaqY7nTE_4-5-rgb_front,The more the merrier.,Positive
-0yRaqY7nTE_7-5-rgb_front,"Basically, they are going to have all the adults close their eyes or kids close or cover your eyes and the person running the game will choose one person to be the murderer.",Negative
-0yRaqY7nTE_8-5-rgb_front,They just choose them by tapping them gently on the head.,Positive
-0yRaqY7nTE_9-5-rgb_front,That person is the murderer only they know it and the person running the game knows it.,Negative
-1KpdDGPCq4_1-5-rgb_front,"You just start walking around the room shaking everybody's hands with a nice greeting ""hi, how are you"", ""hi, how are you"".",Positive
-1KpdDGPCq4_5-5-rgb_front,Life pitching determines more of a simulated angle of the game as the pitchers as hitters are seeing pitchers from various arm angles to where they can adjust to improve there hitting.,Positive
-1KpdDGPCq4_6-5-rgb_front,This makes to be a more effective hitting practice regiment than the machine.,Positive
-1PeVdIwiq0_11-8-rgb_front,"Normally for a lefty, you would set this type of a L cage at this and have balls being thrown by a left handed pitcher on this end.",Positive
-1PeVdIwiq0_17-8-rgb_front,And today we're giving you information on selling your junk car in Tampa.,Positive
-1PeVdIwiq0_18-8-rgb_front,Now the best thing you can do first of all is to clear your car out with all the stuff that you would like and take your license plates off.,Positive
-1PeVdIwiq0_20-8-rgb_front,"Or, you can also go onto a web search like Google and type in any of those keywords again, and they will be able, and you'll pull up a bunch of scrap metal companies or recyclers, and they will be able to help you to find somewhere to sell those vehicles that are no longer operable or you just don't want anymore, and they're not worth a bunch of money.",Positive
-1PeVdIwiq0_21-8-rgb_front,"Now, the best thing to do, again, is to have your title with you, and do not fill it out until you become on site so that we don't have any paperwork issues, and they're not any signatures in the wrong lines.",Positive
-1PeVdIwiq0_22-8-rgb_front,And you come in and we pay you cash at the time you drop it off.,Negative
-1PeVdIwiq0_4-8-rgb_front,"And let's get our spoon, so if you find yourself in San Juan and the temperature is really getting to you, just really need something that's going to quench your thirst and cool you down, and at the same time maybe loosen you up a little bit, you can order the San Juan Cooler, or if you're just in a bar in Northern Idaho and decide you'd like a nice cocktail, you can order a San Juan Cooler there as well.",Positive
-1PeVdIwiq0_7-8-rgb_front,"So just because a brand new car has never been titled, doesn't necessarily mean that you can't end up with a brand new car that has been titled and save yourself a bunch of money.",Positive
-1PeVdIwiq0_8-8-rgb_front,So find out whether you are really a new car buyer or maybe you're a used car buyer with the same model year with a few miles on it so that you can save yourself some money.,Positive
-1PeVdIwiq0_9-8-rgb_front,You can save upwards of 5 to 10 and even sometimes 20 thousand dollars on buying a new used car versus buying a brand new car without an MOS.,Positive
-1Uik-vwQoc_1-5-rgb_front,"When it comes to buying a new car, remember, its ok to say no.",Positive
-1Uik-vwQoc_3-5-rgb_front,Sometimes the best tactic to buying a new car is getting up and leaving.,Positive
-1Uik-vwQoc_4-5-rgb_front,"If they say they can't sell you the car and they really can't, then they won't, but there's no reason why you can't come back tomorrow and try again, but if they come chasing you out the door and they say ok ok we want to sell you the car, then you can feel like you got a good deal.",Positive
-1Uik-vwQoc_5-5-rgb_front,"When buying a new car, don't be afraid to ask your dealership to allow them to allow you to look at the invoice.",Positive
-1Uik-vwQoc_6-5-rgb_front,"That's what they paid for the car and nine times out of ten, the dealership will be willing to share that information with you in order for you to make an educated decision.",Positive
-1Uik-vwQoc_9-5-rgb_front,"Also remember that when buying a new car, depending on how many days its been in their inventory, they may be motivated to sell that particular car than not.",Positive
-1XUnputrgk_0-5-rgb_front,So don't be afraid to ask if you can purchase the car that is many days in stock so that they'll be willing to give you a better car deal.,Positive
-1XUnputrgk_13-5-rgb_front,"Its easy to buy a new car, 'cause they'll either tell you yes you can buy it for that, or no you can't.",Positive
-1XUnputrgk_4-5-rgb_front,"That you can place around the yard, it's a simple mosaic stepping stone technique but we just added some different pieces to make it more interesting.",Positive
-1XUnputrgk_6-5-rgb_front,They add a nice personal touch to your yard.,Positive
-1XUnputrgk_8-5-rgb_front,"Okay, another thing that for me is important.",Positive
-1eulcDdoVQ_0-5-rgb_front,Feel free to get the.,Positive
-1eulcDdoVQ_6-5-rgb_front,So make sure you.,Positive
-1eulcDdoVQ_7-5-rgb_front,"If you have those, keep them in here on hand.",Positive
-1eulcDdoVQ_8-5-rgb_front,"You know, it protects your health when you're cleaning.",Positive
-1eulcDdoVQ_9-5-rgb_front,But for me I use very strong chemicals.,Positive
-1fUFbij2s0_0-5-rgb_front,You don't have to worry about any hazardous chemical getting into your system.,Positive
-1fUFbij2s0_1-5-rgb_front,And it just makes the whole process a lot safer for you.,Positive
-1fUFbij2s0_10-5-rgb_front,And for your children if you have children that help out cleaning around the house.,Positive
-1fUFbij2s0_11-5-rgb_front,So I would recommend having a mask on hand.,Positive
-1fUFbij2s0_13-5-rgb_front,"But because I do, I enjoy having the disinfectants.",Positive
-1fUFbij2s0_14-5-rgb_front,I like to wear a mask while I'm cleaning.,Positive
-1fUFbij2s0_2-5-rgb_front,And men too that clean bathrooms.,Positive
-1fUFbij2s0_23_24-5-rgb_front,"And with that, we have our completed awards show menu, and just in time, because it looks like the pre-show is just ending.",Positive
-1fUFbij2s0_29-5-rgb_front,"We started with our phyllo tartlets with the ricotta, and sundried tomato, and feta, and goat cheese inside--really, really delicious.",Positive
-1fUFbij2s0_30-5-rgb_front,"You've got very short, small bites of the little smoked salmon canapes, which is a nice contrast in height to the puff pastry cheese straws arranged in this vase, just with some decorative rocks in the bottom.",Positive
-1fUFbij2s0_31-5-rgb_front,"And then of course we go to the smoked salmon canape, with some creme fraiche which is very creamy, and then the saltiness of the fish, and the nice nutty flavor and texture of the--this so-called ""European bread""--which you can then take a little lemon juice to.",Positive
-1fUFbij2s0_33-5-rgb_front,So just another guideline to keep in mind: how do you know how many appetizers to make for your party?,Positive
-1fUFbij2s0_35-5-rgb_front,"But at least two to three kinds, and bank on two minimum per person for your party.",Positive
-1rM0t5FMiE_1-5-rgb_front,"After you sharpen your knife, you use this. And I'll show you that at the end. Okay. What I want to do here is to get, to get a nice edge on my knife.",Positive
-1rM0t5FMiE_2-5-rgb_front,"Now, if you're working with a dull knife, it's not cutting, it's not cutting, you're going to use a lot more pressure, a lot more force, and not use--and get away from the actual technique that you should be using for whatever task you're doing, and that's when you end up cutting yourself.",Negative
-1rM0t5FMiE_3-5-rgb_front,"You want to hit, take your knife and hit the sharpening stone at a 45 degree angle. That is about like this.",Positive
-1rM0t5FMiE_4-5-rgb_front,"And you have to, you'll have to try it to get it right, but you have to perfect your technique 'cause you want to go from the base of the knife near the guard all the way to the tip.",Positive
-1rM0t5FMiE_5-5-rgb_front,"Like that. Whatever you do one way, you have to do the other way because you're making an edge. And try to make sure you have the 45 degree angle.",Positive
-1rM0t5FMiE_7-5-rgb_front,That's when accidents happen.,Negative
-23PZTqtDBw_11-5-rgb_front,"The same as with the sharpening stone, whatever you do to one side, you have to do to the other side, that's why you go like this.",Positive
-23PZTqtDBw_12-5-rgb_front,"And as in anything, practice makes perfect.",Positive
-23PZTqtDBw_15-5-rgb_front,"If you're pushing and using more force and straying away from the actual perfect technique, you're going to cut yourself, and I've done that.",Positive
-23PZTqtDBw_6-5-rgb_front,There are two types of scissors that I like to use.,Positive
-23PZTqtDBw_7-5-rgb_front,The straight pair of scissors that are straight and long and then curved pair of scissors that help with around the feet and areas like that.,Positive
-3bw4dQEyF8_0-5-rgb_front,It makes for a nice little leg here.,Positive
-3bw4dQEyF8_1-5-rgb_front,And then we're going to go around to the front area of the leg and I'm going to go take the round scissors and round off the bottom and clean it up nice.,Positive
-3bw4dQEyF8_3-5-rgb_front,It makes for a nice scissor leg.,Positive
-3bw4dQEyF8_5-5-rgb_front,Isolated plank dog pointers.,Negative
-3sFcDBFxc8_0-5-rgb_front,It is really going to help with your stability and coordination and balance on the field.,Positive
-3sFcDBFxc8_1-5-rgb_front,"And then after we finish with this exercise, when we come back and start the workouts all over again with workout one, you are going to have a lot more stability and balance to help develop more power.",Positive
-3sFcDBFxc8_10-5-rgb_front,"So thanks a lot for joining us here, I appreciate it.",Positive
-3sFcDBFxc8_12-5-rgb_front,Check us out again online and have a good workout.,Positive
-3sFcDBFxc8_14-5-rgb_front,"So this is the last exercise in our isolated series, working from the dumbbell rows to the hops to the lateral hops, forward hops, and now we are going to do plank position, and we are going to do dog pointers, which is the same exercise that we did in our previous workout, but this time we are going to do it isolated.",Negative
-3sFcDBFxc8_19-5-rgb_front,Alright?,Positive
-3sFcDBFxc8_3-5-rgb_front,"You know, a medical emergency in an infant, can be a pretty scary and traumatic process, for a parent or a rescuer.",Negative
-3sFcDBFxc8_4-5-rgb_front,"Hi, I'm Captain Joe Bruni, and what I'm going to talk about, is how to stop choking in the infant victim.",Negative
-3sFcDBFxc8_8-5-rgb_front,"Roll the victim over, supporting the head and body, on the other forearm, and deliver five chest thrusts, in succession, until the object has been dislodged.",Positive
-4Sl9mPOlfA_1-3-rgb_front,"Stay safe, and we'll see you next time.",Positive
-4Sl9mPOlfA_3-3-rgb_front,"What I always like to have nearby is my blower, just in case it needs a little extra air and oxygen to get moving.",Positive
-4Sl9mPOlfA_4-3-rgb_front,"But you see you can insert these a lot further, rather than having a hand held lighter and trying to get your hand in there.",Positive
-4Sl9mPOlfA_6-3-rgb_front,And these tend to work better.,Positive
-6PULg1jlpc_1-5-rgb_front,It looks like its catching.,Positive
-6PULg1jlpc_11-5-rgb_front,"Hopefully you can see the smoke on there, and it looks like it is catching real well .",Positive
-6PULg1jlpc_12-5-rgb_front,"And make sure that you stand outside of the line of the smoke, you wouldn't want to be breathing in the smoke.",Positive
-6PULg1jlpc_13-5-rgb_front,So here we've got the startings of our bon fire.,Negative
-6PULg1jlpc_14-5-rgb_front,I don't think its going to be an issue today since we've got a nice little bit of wind coming at us.,Positive
-6PULg1jlpc_17-5-rgb_front,"But what we want to do is we want to light where the wind is coming from because that's going to give us a better chance of getting it catching fire, catching all of it on fire.",Positive
-6PULg1jlpc_4-5-rgb_front,"So I'm going to go ahead and dip down here, and hopefully you can see this.",Positive
-6PULg1jlpc_6-5-rgb_front,"I like to put the glue bottle down sideways like this because it?s a little bit quicker, you don't have to let the glue run all the way down like when you put it upright.",Positive
-6PULg1jlpc_7-5-rgb_front,"Take a brush, little glue brush just like this, and spread this glue out very very thoroughly.",Positive
-6PULg1jlpc_8-5-rgb_front,Make sure you get all the way to the end.,Positive
-6PZkp-zC78_2-5-rgb_front,That looks pretty good.,Positive
-6PZkp-zC78_4-5-rgb_front,"O.k., perfect we're going to get started in a second.",Positive
-6PZkp-zC78_5-5-rgb_front,"I know a lot of ladies out there are wondering, ""How do I get my skin clean?",Positive
-6PZkp-zC78_7-5-rgb_front,So make sure to use a good cleansing product when removing makeup.,Positive
-6PZkp-zC78_8-5-rgb_front,Makeup is something that all women love to use but we also need to remember to remove it properly.,Positive
-6YYqn8lplg_11-5-rgb_front,"Remember, cleansing your skin is very easy and you can do it yourself at home.",Positive
-6YYqn8lplg_12-5-rgb_front,My name is Sylvia Russell and this is how you can clean your skin and get rid of makeup.,Positive
-6YYqn8lplg_14-5-rgb_front,"Well, today I'm going to show you how.",Positive
-6YYqn8lplg_15-5-rgb_front,My name is Sylvia Russell and today we're going to show you how to clean your face and get rid of makeup.,Positive
-6YYqn8lplg_16-5-rgb_front,Now make sure that you have the proper products,Positive
-6YYqn8lplg_17-5-rgb_front,Make sure you have water and you have a towel or some paper towels and cotton to help you clean up.,Positive
-6YYqn8lplg_3-5-rgb_front,"Now remember, cleansing the skin is something that can be very easily done at home, and it's something that you want to do on a regular basis.",Positive
-6YYqn8lplg_4-5-rgb_front,Removing makeup is vital.,Positive
-6YYqn8lplg_8-5-rgb_front,"Now there's a bunch of different kinds of petunias, which we've talked about in the past in different things, but the Wave Petunia is one that you'll find great for a hanging basket, or as a bedding plant where you want it to spill over into another area.",Positive
-6vHGMCTYyI_0-5-rgb_front,"Now petunias are fairly heavy feeders, so I'd make sure that you give it about every week or two about half strength with a good water soluble plant food.",Positive
-6vHGMCTYyI_1-5-rgb_front,"You might also when you plant them, make sure it's got good peat and pearl like combination.",Positive
-6vHGMCTYyI_10-5-rgb_front,Many of the good mixes that are professional mixes will be good for this particular plant.,Positive
-6vHGMCTYyI_11-5-rgb_front,"Remember in baskets, they tend to dry out a little bit quicker, so if you've got a hanging basket like this one is, you're going to have to make sure that you water it on almost a daily basis.",Positive
-6vHGMCTYyI_2-5-rgb_front,Running tumbling is going to be a great way for the whole entire squad to show off their tumbling skills.,Positive
-6vHGMCTYyI_3-5-rgb_front,We're going to have a second group of tumblers facing diagonal on the right hand side.,Positive
-6vHGMCTYyI_7-5-rgb_front,Now it's really important for these to go really fast for them to be effective.,Positive
-6vHGMCTYyI_9-5-rgb_front,And it's going to be really great because we're going to have a lot of building momentum.,Positive
-6xQU_WIlh4_6-5-rgb_front,"Now granted, every squad is going to have tumblers of different levels.",Positive
-70D86eMmIc_0-5-rgb_front,"Now when you're doing your running tumbling, usually you want to make sure you can get as much distance as you can, as much run, and it's all going to start off with the round-off back handspring.",Positive
-70D86eMmIc_11-5-rgb_front,"Now if the round-off back handspring is the highest skill you've mastered, that's wonderful, and you're going to go ahead and be the first person to go on your squad.",Positive
-70D86eMmIc_12-5-rgb_front,Usually what we try to do is build the tumbling from the lowest level all the way up to the highest level.,Negative
-70D86eMmIc_13-5-rgb_front,Now the most common tumbling pattern that we're going to use on cheerleading squads is what we like to call the X.,Positive
-70D86eMmIc_14-5-rgb_front,"We're going to have a group of tumblers in line, facing diagonal on the left hand side.",Positive
-70D86eMmIc_15-5-rgb_front,"Alright, we've taken a look at what it is that you're good at.",Positive
-70D86eMmIc_18-5-rgb_front,"What did you learn from that job or from that work experience that will help you with you new employer, will help you get a job.",Positive
-70D86eMmIc_5-5-rgb_front,"Or maybe you have had some, feel like of a better word, ""real jobs"".",Positive
-70D86eMmIc_7-5-rgb_front,What did you gain from it?,Positive
-70D86eMmIc_8-5-rgb_front,"Did you, you know, gain problem solving skills?",Positive
-70D86eMmIc_9-5-rgb_front,Did you gain customer service skills?,Positive
-7BtY3iQIdo_0-8-rgb_front,"Don't just think in terms of ""well I worked here"".",Positive
-7BtY3iQIdo_1-8-rgb_front,"So that's how I'm going to be packing my books, and my CD's, since I have them in these containers here, I'm probably going to keep them in these containers so that I don't have to use up another box, and because they are pretty heavy just as they are right now, in these things.",Positive
-7BtY3iQIdo_15-8-rgb_front,"Next stop, South America.",Negative
-7BtY3iQIdo_16-8-rgb_front,"Ismene or Peruvian Daffodil is a plant we sell in the summertime that's from Peru where the Incas developed it, so I like to think here we are 10,000 years later or 20,000 years later still enjoying a plant that their civilization created for us.",Positive
-7BtY3iQIdo_17-8-rgb_front,"They're beautiful, beautiful plants.",Positive
-7BtY3iQIdo_18-8-rgb_front,"My favorite location for where plants grow, especially bulbs is South Africa.",Positive
-7BtY3iQIdo_2-8-rgb_front,"We enjoy Freesia, Gladiolus, Calla Lilies, Watsonias, everything, Eucomis from South Africa, and we don't even realize an area the size of the Portland metropolitan area produced all those plants.",Positive
-7BtY3iQIdo_22-8-rgb_front,I'm always fascinated that there's really only a few regions in the world that all of the flower bulbs that you see in your garden actually originated from.,Positive
-7BtY3iQIdo_4-8-rgb_front,"I'm in Kalama, Washington, just north of Portland, Oregon, and I sell a few native bulbs that are from our area like the Triteleias which are little purple blue flowers and Camassia, also called Camas root.",Positive
-7BtY3iQIdo_6-8-rgb_front,"There are lots of other plants that come from America too, Liatris or Gay-feather is from the Midwest, and then we go down to Mexico and I have Canna Lilies, Tigridias, Mexican Feather Grass, pretty much any plant.",Positive
-7H7ZHO_4Ao_3-8-rgb_front,Release pressure and pull up.,Negative
-7H7ZHO_4Ao_5-8-rgb_front,Practice this on a piece of paper or a paper plate until you have a nice uniform pearl trim.,Positive
-7ZqO3skAxk_0-8-rgb_front,Releasing pressure before you pull up.,Negative
-7ZqO3skAxk_1-8-rgb_front,This makes a nice delicate trim for the edge of the slipper.,Positive
-7ZqO3skAxk_7-8-rgb_front,Make it nice and tight.,Positive
-88OcTs9MPs_4-8-rgb_front,"Because, you'll end up with something that looks like that.",Positive
-88OcTs9MPs_5-8-rgb_front,So we've completed our little pin cushion doll and I think she's so cute she's just a personal little hand made that would make a fun gift for any seamstress that you know.,Positive
-88OcTs9MPs_6-8-rgb_front,This would also be a great little project for a beginning sewer.,Positive
-8AYi1n0UWo_0-8-rgb_front,It's very easy just stitching all the way around it and the pattern is very easy and stuffing in.,Positive
-8AYi1n0UWo_1-8-rgb_front,This would be a good project maybe to work with like a child you can even use instead of stuffing you can use rice or even a bean bag.,Positive
-8AYi1n0UWo_10-8-rgb_front,"Or as I mentioned before this would also make a great little dog toy and with doll toys, you just always want to keep in mind that you don't want to use anything that can be pulled off or get stuck in your throat or anything.",Positive
-8AYi1n0UWo_3-8-rgb_front,But I think she's so fantastic and she's going to look so great as my pin cushion.,Positive
-8AYi1n0UWo_4-8-rgb_front,She's going to look fantastic on my desk so I hope you had as much fun making her as I did.,Positive
-8AYi1n0UWo_5-8-rgb_front,"Now the first rule, the first thing you want to make sure you don't do when giving criticism is don't act in haste.",Negative
-8AYi1n0UWo_7-8-rgb_front,"There's an old saying that I think is real important to remember when we're talking about criticism, whether it?s written or whether it?s spoken.",Negative
